# Frequency [Hz]	PSD [V²/Hz]
0.000000000000000000e+00	1.061561954334425866e-03
7.811281216611876653e-03	1.019752546017007634e-02
1.562256243322375331e-02	7.952992746913800648e-03
2.343384364983562909e-02	1.302844841838267549e-02
3.124512486644750661e-02	1.248529927818496123e-02
3.905640608305938066e-02	1.031310989140631074e-02
4.686768729967125818e-02	1.491471685590985141e-02
5.467896851628313570e-02	2.339630709760137650e-02
6.249024973289501322e-02	1.313089149849019921e-02
7.030153094950689074e-02	1.580489057298342659e-02
7.811281216611876133e-02	1.708024423965049526e-02
8.592409338273064578e-02	5.329787609128566056e-03
9.373537459934251637e-02	1.227144190427792783e-02
1.015466558159544008e-01	2.266078540872168770e-02
1.093579370325662714e-01	9.194624865806010419e-03
1.171692182491781559e-01	9.469695505232559110e-03
1.249804994657900264e-01	2.476613132855313634e-02
1.327917806824019109e-01	4.502046269659925465e-02
1.406030618990137815e-01	3.285248836421382490e-02
1.484143431156256521e-01	5.933221753307275220e-02
1.562256243322375227e-01	8.730443170646008666e-02
1.640369055488494210e-01	2.074836899649631639e-01
1.718481867654612916e-01	3.556631404501435778e-01
1.796594679820731622e-01	2.028872659392210731e-01
1.874707491986850327e-01	6.263579619984352420e-02
1.952820304152969033e-01	1.768387854816245996e-01
2.030933116319088017e-01	2.239191683763513130e-01
2.109045928485206722e-01	1.671890781471548904e-01
2.187158740651325428e-01	2.397187249173162449e-01
2.265271552817444134e-01	1.953317671749328910e-01
2.343384364983563117e-01	1.300150844791742311e-01
2.421497177149681823e-01	8.995949132224932698e-02
2.499609989315800529e-01	1.538725192322060731e-01
2.577722801481919235e-01	1.295669441940789923e-01
2.655835613648038218e-01	1.548388235066874008e-01
2.733948425814156646e-01	1.295004156541820217e-01
2.812061237980275630e-01	1.491275671804527525e-01
2.890174050146394613e-01	1.425346247791014209e-01
2.968286862312513041e-01	1.332095552772715741e-01
3.046399674478632025e-01	2.044908731294618753e-01
3.124512486644750453e-01	1.011003402927089512e-01
3.202625298810869436e-01	1.712762735289190819e-01
3.280738110976988420e-01	2.241160559745498382e-01
3.358850923143106848e-01	1.450503050171564889e-01
3.436963735309225831e-01	9.710590979596848971e-02
3.515076547475344260e-01	9.875896477444552624e-02
3.593189359641463243e-01	6.278601857294001387e-02
3.671302171807582226e-01	3.332933736572816358e-02
3.749414983973700655e-01	1.792745778941593621e-02
3.827527796139819638e-01	2.221397159613611172e-02
3.905640608305938066e-01	5.954386035689078482e-02
3.983753420472057050e-01	6.810102631981491961e-02
4.061866232638176033e-01	3.007145473466092678e-02
4.139979044804294461e-01	3.473918177058665790e-02
4.218091856970413445e-01	2.742809911640922346e-02
4.296204669136532428e-01	1.861131189542149927e-02
4.374317481302650856e-01	4.735028360914871060e-02
4.452430293468769840e-01	3.438894975066779380e-02
4.530543105634888268e-01	2.178914834409310247e-02
4.608655917801007251e-01	2.140537055886588408e-02
4.686768729967126235e-01	3.076706761371390125e-02
4.764881542133244663e-01	2.280335994482867237e-02
4.842994354299363646e-01	3.596334582227082854e-02
4.921107166465482075e-01	3.763125997150729846e-02
4.999219978631601058e-01	2.407805562407624653e-02
5.077332790797719486e-01	1.054441900345625717e-02
5.155445602963838470e-01	6.700371386375643390e-03
5.233558415129957453e-01	6.192053208674228384e-03
5.311671227296076436e-01	1.538215938882976815e-02
5.389784039462195420e-01	1.228005888773945481e-02
5.467896851628313293e-01	5.781246908061330424e-03
5.546009663794432276e-01	1.876780653130255896e-02
5.624122475960551260e-01	2.698164053685973840e-02
5.702235288126670243e-01	2.952057651521022147e-02
5.780348100292789226e-01	1.648047992597187483e-02
5.858460912458907099e-01	1.391400952856233601e-02
5.936573724625026083e-01	2.500540962036725684e-02
6.014686536791145066e-01	2.610861467212265488e-02
6.092799348957264050e-01	2.025131170702688943e-02
6.170912161123383033e-01	1.237372076888131403e-02
6.249024973289500906e-01	1.204068498404748007e-02
6.327137785455619889e-01	9.324417466836040086e-03
6.405250597621738873e-01	6.511636104553787836e-03
6.483363409787857856e-01	5.384213659150973059e-03
6.561476221953976840e-01	6.959933333051749986e-03
6.639589034120094713e-01	1.057954436603922646e-02
6.717701846286213696e-01	9.179853666723981551e-03
6.795814658452332679e-01	8.994464630990392506e-03
6.873927470618451663e-01	1.186803673639840774e-02
6.952040282784570646e-01	1.548299433580493240e-02
7.030153094950688519e-01	2.366593668908596737e-02
7.108265907116807503e-01	6.436215190014579930e-03
7.186378719282926486e-01	9.237815510807512523e-03
7.264491531449045469e-01	1.923254061928022021e-02
7.342604343615164453e-01	1.584938414956431688e-02
7.420717155781282326e-01	6.597734049914988005e-03
7.498829967947401309e-01	4.487288717259329922e-03
7.576942780113520293e-01	6.778225852026032762e-03
7.655055592279639276e-01	9.930792719767954357e-03
7.733168404445758259e-01	9.720283958006534913e-03
7.811281216611876133e-01	9.604533683515182121e-03
7.889394028777995116e-01	6.566337731434590194e-03
7.967506840944114099e-01	3.619423093236068690e-03
8.045619653110233083e-01	6.221492884095561858e-03
8.123732465276352066e-01	4.565789385092665006e-03
8.201845277442469939e-01	6.435386104864690253e-03
8.279958089608588923e-01	3.783198132213483420e-03
8.358070901774707906e-01	3.452276811367269594e-03
8.436183713940826889e-01	5.774834648871924464e-03
8.514296526106945873e-01	1.333761070054509737e-02
8.592409338273064856e-01	1.180911310724309070e-02
8.670522150439182729e-01	1.745147760488627645e-02
8.748634962605301713e-01	1.373097444779390434e-02
8.826747774771420696e-01	7.141525806785896900e-03
8.904860586937539679e-01	1.026116679444635457e-02
8.982973399103658663e-01	8.435531492660843997e-03
9.061086211269776536e-01	7.820786447363512264e-03
9.139199023435895519e-01	9.927680430093854119e-03
9.217311835602014503e-01	5.633923496601091728e-03
9.295424647768133486e-01	6.783108322518573846e-03
9.373537459934252469e-01	6.640916365337242409e-03
9.451650272100370342e-01	6.786143685030147747e-03
9.529763084266489326e-01	8.350788107375092806e-03
9.607875896432608309e-01	1.440670195451455686e-02
9.685988708598727293e-01	6.593759978777438691e-03
9.764101520764846276e-01	6.050962422793587474e-03
9.842214332930964149e-01	6.999110715951543070e-03
9.920327145097083132e-01	1.063799207595175940e-02
9.998439957263202116e-01	7.747596355251434863e-03
