# dt	sn
# time = 0.033339999999999474
0.026680	0.256855
0.026720	0.257592
0.026760	0.258673
0.026800	0.258192
0.026840	0.257279
0.026880	0.258331
0.026920	0.257467
0.026960	0.258043
0.027000	0.258874
0.027040	0.257533
0.027080	0.258385
0.027120	0.258367
0.027160	0.258295
0.027200	0.257320
0.027240	0.258502
0.027280	0.257739
0.027320	0.258892
0.027360	0.258342
0.027400	0.258599
0.027440	0.258441
0.027480	0.258121
0.027520	0.257110
0.027560	0.257987
0.027600	0.258650
0.027640	0.259299
0.027680	0.257591
0.027720	0.258342
0.027760	0.257649
0.027800	0.258653
0.027840	0.258741
0.027880	0.257456
0.027920	0.258111
0.027960	0.259054
0.028000	0.258487
0.028040	0.257018
0.028080	0.257430
0.028120	0.257959
0.028160	0.257828
0.028200	0.256927
0.028240	0.259082
0.028280	0.257892
0.028320	0.258181
0.028360	0.257267
0.028400	0.259282
0.028440	0.258084
0.028480	0.257598
0.028520	0.258517
0.028560	0.258536
0.028600	0.258879
0.028640	0.258116
0.028680	0.257765
0.028720	0.258199
0.028760	0.258673
0.028800	0.259243
0.028840	0.258645
0.028880	0.258406
0.028920	0.258587
0.028960	0.257650
0.029000	0.258351
0.029040	0.257564
0.029080	0.258120
0.029120	0.258318
0.029160	0.258255
0.029200	0.257847
0.029240	0.258617
0.029280	0.258323
0.029320	0.258183
0.029360	0.258368
0.029400	0.257941
0.029440	0.258677
0.029480	0.258135
0.029520	0.257263
0.029560	0.258278
0.029600	0.258017
0.029640	0.258976
0.029680	0.258070
0.029720	0.257127
0.029760	0.258436
0.029800	0.258034
0.029840	0.257901
0.029880	0.258781
0.029920	0.258785
0.029960	0.257049
0.030000	0.259406
0.030040	0.259213
0.030080	0.258598
0.030120	0.258526
0.030160	0.257724
0.030200	0.258537
0.030240	0.259212
0.030280	0.257528
0.030320	0.258798
0.030360	0.257881
0.030400	0.259013
0.030440	0.257918
0.030480	0.258469
0.030520	0.259269
0.030560	0.257242
0.030600	0.258175
0.030640	0.257842
0.030680	0.259487
0.030720	0.257913
0.030760	0.258423
0.030800	0.257739
0.030840	0.260037
0.030880	0.257380
0.030920	0.258939
0.030960	0.258005
0.031000	0.258233
0.031040	0.258032
0.031080	0.256562
0.031120	0.258230
0.031160	0.257745
0.031200	0.257472
0.031240	0.258215
0.031280	0.257573
0.031320	0.257649
0.031360	0.259148
0.031400	0.258773
0.031440	0.257111
0.031480	0.258646
0.031520	0.259462
0.031560	0.258010
0.031600	0.258406
0.031640	0.258137
0.031680	0.258561
0.031720	0.257628
0.031760	0.258280
0.031800	0.258660
0.031840	0.258445
0.031880	0.257845
0.031920	0.257247
0.031960	0.258421
0.032000	0.257984
0.032040	0.258156
0.032080	0.257947
0.032120	0.257405
0.032160	0.258068
0.032200	0.258228
0.032240	0.258845
0.032280	0.258616
0.032320	0.257472
0.032360	0.256486
0.032400	0.257916
0.032440	0.258281
0.032480	0.258575
0.032520	0.257478
0.032560	0.258010
0.032600	0.257808
0.032640	0.258021
0.032680	0.257514
0.032720	0.258427
0.032760	0.258853
0.032800	0.256925
0.032840	0.258241
0.032880	0.256882
0.032920	0.257374
0.032960	0.258201
0.033000	0.258736
0.033040	0.258550
0.033080	0.258082
0.033120	0.258505
0.033160	0.257848
0.033200	0.258345
0.033240	0.257967
0.033280	0.257779
0.033320	0.257480
0.033360	0.256819
0.033400	0.257731
0.033440	0.257307
0.033480	0.258817
0.033520	0.258814
0.033560	0.257167
0.033600	0.258251
0.033640	0.257963
0.033680	0.258045
0.033720	0.257019
0.033760	0.257111
0.033800	0.259108
0.033840	0.258244
0.033880	0.257595
0.033920	0.257091
0.033960	0.258067
0.034000	0.257802
0.034040	0.258450
0.034080	0.258921
0.034120	0.258560
0.034160	0.258030
0.034200	0.257602
0.034240	0.258293
0.034280	0.258241
0.034320	0.258154
0.034360	0.257815
0.034400	0.258450
0.034440	0.257488
0.034480	0.258096
0.034520	0.257335
0.034560	0.257949
0.034600	0.257599
0.034640	0.257626
0.034680	0.258585
0.034720	0.257157
