,nse,bse
196,CUBEXTUB,526027.0
197,HINDALCO,500440.0
198,HINDCOPPER,513599.0
199,HINDZINC,500188.0
200,MAANALU,532906.0
201,MANAKSIA,532932.0
202,MANAKALUCO,539045.0
203,MMP,
204,NATIONALUM,532234.0
205,PRECWIRE,523539.0
206,SAGARDEEP,
207,TINPLATE,504966.0
208,APCOTEXIND,523694.0
209,CCL,519600.0
210,DTIL,538902.0
211,ELGIRUBCO,
212,GROBTEA,
213,GRPLTD,509152.0
214,HARRMALAYA,500467.0
215,JAYSREETEA,509715.0
216,MCLEODRUSS,532654.0
217,NORBTEAEXP,519528.0
218,PKTEA,
219,ROSSELLIND,533168.0
220,SEPOWER,534598.0
221,SOMICONVEY,533001.0
222,TATACOFFEE,532301.0
223,TATACONSUM,500800.0
224,UNITEDTEA,
225,KOKUYOCMLN,523207.0
226,LINCPEN,531241.0
227,VASA,
228,ABB,500002.0
229,POWERINDIA,543187.0
230,AMTL,534612.0
231,APARINDS,532259.0
232,BHEL,500103.0
233,BBL,503960.0
234,BRIGHT,
235,CGPOWER,500093.0
236,CROMPTON,539876.0
237,EASUNREYRL,532751.0
238,EMCO,504008.0
239,FOCUS,
240,GET&D,522275.0
241,GOLDSTAR,
242,HAVELLS,517354.0
243,HONDAPOWER,522064.0
244,HPL,540136.0
245,INDLMETER,517571.0
246,INDOTECH,532717.0
247,INDOSOLAR,533257.0
248,INOXWIND,539083.0
249,JYOTISTRUC,513250.0
250,KEC,532714.0
251,KALPATPOWR,522287.0
252,KECL,533193.0
253,MARINE,
254,MODISNME,506261.0
255,NTL,532887.0
256,REXPIPES,
257,S&SPOWER,517273.0
258,SALZERELEC,517059.0
259,SCHNEIDER,534139.0
260,SERVOTECH,
261,SRIRAM,
262,SIEMENS,500550.0
263,SPECTRUM,
264,SURANASOL,533298.0
265,SUZLON,532667.0
266,SWELECTES,532051.0
267,TRIL,532928.0
268,TARAPUR,533203.0
269,TDPOWERSYS,533553.0
270,TRITURBINE,533655.0
271,UJAAS,533644.0
272,VGUARD,532953.0
273,VETO,539331.0
274,VOLTAMP,532757.0
275,WEBELSOLAR,517498.0
276,WFL,
277,BIRLAMONEY,532974.0
278,ARIHANTCAP,511605.0
279,DBSTOCKBRO,530393.0
280,EMKAY,532737.0
281,GEOJITFSL,532285.0
282,INDBANK,511473.0
283,STEELCITY,
284,IFGLEXPOR,540774.0
285,RHIM,534076.0
286,VESUVIUS,520113.0
287,AAREYDRUGS,524412.0
288,AARTIDRUGS,524348.0
289,ABBOTINDIA,500488.0
290,AJANTPHARM,532331.0
291,ALBERTDAVD,524075.0
292,ALEMBICLTD,506235.0
293,APLLTD,533573.0
294,ALKEM,539523.0
295,ALPA,532878.0
296,AMRUTANJAN,590006.0
297,ANURAS,543275.0
298,ARVEE,
299,ASTRAZEN,506820.0
300,AUROPHARMA,524804.0
301,BAFNAPH,532989.0
302,BALPHARMA,524824.0
303,BETA,
304,BIOCON,532523.0
305,BIOFILCHEM,524396.0
306,BLISSGVS,506197.0
307,BROOKS,533543.0
308,CADILAHC,532321.0
309,CAPLIPOINT,524742.0
310,CIPLA,500087.0
311,DCAL,540701.0
312,DIVISLAB,532488.0
313,DRREDDY,500124.0
314,ERIS,540596.0
315,FDC,531599.0
316,GLAND,543245.0
317,GLAXO,500660.0
318,GLS,543322.0
319,GLENMARK,532296.0
320,GRANULES,532482.0
321,GUFICBIO,509079.0
322,HESTERBIO,524669.0
323,HIKAL,524735.0
324,INDSWFTLTD,524652.0
325,INDSWFTLAB,532305.0
326,INDOCO,532612.0
327,IOLCP,524164.0
328,IPCALAB,524494.0
329,JBCHEPHARM,506943.0
330,JAGSNPHARM,507789.0
331,JUBLPHARMA,530019.0
332,KILITCH,524500.0
333,KOPRAN,524280.0
334,KREBSBIO,524518.0
335,LASA,540702.0
336,LAURUSLABS,540222.0
337,LINCOLN,531633.0
338,LUPIN,500257.0
339,LYKALABS,500259.0
340,MANGALAM,532637.0
341,MARKSANS,524404.0
342,MOREPENLAB,500288.0
343,NATCOPHARM,524816.0
344,NECLIFE,532649.0
345,NEULANDLAB,524558.0
346,NOVARTIND,500672.0
347,ORCHPHARMA,524372.0
348,ORTINLAB,539287.0
349,PGHL,500126.0
350,PANACEABIO,531349.0
351,PAR,
352,PDPL,524689.0
353,PFIZER,500680.0
354,PEL,500302.0
355,RPGLIFE,532983.0
356,SAKAR,
357,SANOFI,500674.0
358,SEQUENT,512529.0
359,SHILPAMED,530549.0
360,SMSLIFE,540679.0
361,SMSPHARMA,532815.0
362,SOLARA,541540.0
363,STAR,532531.0
364,SUNPHARMA,524715.0
365,SUVEN,530239.0
366,SUVENPHAR,543064.0
367,SYNGENE,539268.0
368,THEMISMED,530199.0
369,TORNTPHARM,500420.0
370,TTKHLTCARE,507747.0
371,UNICHEMLAB,506690.0
372,VENUSREM,526953.0
373,VINEETLAB,543298.0
374,VIVIMEDLAB,532660.0
375,WANBURY,524212.0
376,WINDLAS,543329.0
377,WOCKPHARMA,532300.0
378,ZOTA,
379,ESSARSHPNG,533704.0
380,GESHIP,500620.0
381,GLOBOFFS,501848.0
382,MERCATOR,526235.0
383,SCI,523598.0
384,SEAMECLTD,526807.0
385,SHREYAS,520151.0
386,AUBANK,540611.0
387,AXISBANK,532215.0
388,BANDHANBNK,541153.0
389,BANKBARODA,532134.0
390,BANKINDIA,532149.0
391,MAHABANK,532525.0
392,CANBK,532483.0
393,CENTRALBK,532885.0
394,CUB,532210.0
395,CSBBANK,542867.0
396,DCBBANK,532772.0
397,DHANBANK,532180.0
398,EQUITASBNK,543243.0
399,FEDERALBNK,500469.0
400,HDFCBANK,500180.0
401,IOB,532388.0
402,ICICIBANK,532174.0
403,IDBI,500116.0
404,IDFCFIRSTB,539437.0
405,INDIANB,532814.0
406,INDUSINDBK,532187.0
407,J&KBANK,532209.0
408,KTKBANK,532652.0
409,KARURVYSYA,590003.0
410,KOTAKBANK,500247.0
411,PSB,533295.0
412,PNB,532461.0
413,RBLBANK,540065.0
414,SOUTHBANK,532218.0
415,SBIN,500112.0
416,SURYODAY,543279.0
417,UCOBANK,532505.0
418,UJJIVANSFB,542904.0
419,UNIONBANK,532477.0
420,YESBANK,532648.0
421,20MICRONS,533022.0
422,ASHAPURMIN,527001.0
423,BHAGYANGR,512296.0
424,COALINDIA,533278.0
425,GMDCLTD,532181.0
426,GRAVITA,533282.0
427,IMPEXFERRO,532614.0
428,IMFA,533047.0
429,KIOCL,540680.0
430,MCL,
431,MAITHANALL,590078.0
432,MOIL,533286.0
433,NMDC,526371.0
434,ORISSAMINE,590086.0
435,ARENTERP,526662.0
436,ROHITFERRO,532731.0
437,SHIRPUR-G,512289.0
438,SHYAMCENT,539252.0
439,SOUTHWEST,
440,VEDL,500295.0
441,GPPL,533248.0
442,APTECHT,532475.0
443,COMPUSOFT,532339.0
444,EDUCOMP,532696.0
445,NIITLTD,500304.0
446,UMESLTD,532398.0
447,ZEELEARN,533287.0
448,ACC,500410.0
449,AMBUJACEM,500425.0
450,ANDHRACEMT,532141.0
451,APCL,518091.0
452,BVCL,532916.0
453,BIRLACORPN,500335.0
454,BURNPUR,532931.0
455,DALBHARAT,542216.0
456,DECCANCE,502137.0
457,GSCLCEMENT,518029.0
458,HEIDELBERG,500292.0
459,INDIACEM,530005.0
460,JKCEMENT,532644.0
461,JKLAKSHMI,500380.0
462,KCP,590066.0
463,KAKATCEM,500234.0
464,MANGLMCEM,502157.0
465,NCLIND,502168.0
466,NUVOCO,543334.0
467,ORIENTCEM,535754.0
468,PRSMJOHNSN,500338.0
469,SAGCEM,502090.0
470,SANGHIIND,526521.0
471,SHREDIGCEM,502180.0
472,SHREECEM,500387.0
473,STARCEMENT,540575.0
474,RAMCOCEM,500260.0
475,ULTRACEMCO,532538.0
476,KPIGLOBAL,542323.0
477,ABAN,523204.0
478,HINDOILEXP,500186.0
479,ONGC,500312.0
480,OIL,533106.0
481,SELAN,530075.0
482,AARTIIND,524208.0
483,AARTISURF,543210.0
484,ADVENZYMES,540025.0
485,AKSHARCHEM,524598.0
486,ALKALI,533029.0
487,ALKYLAMINE,506767.0
488,AMBANIORG,
489,ASAHISONG,532853.0
490,ATUL,500027.0
491,BALAMINES,530999.0
492,BASF,500042.0
493,BHAGERIA,530803.0
494,BODALCHEM,524370.0
495,CAMLINFINE,532834.0
496,CASTROLIND,500870.0
497,CHEMBOND,530871.0
498,CHEMCON,543233.0
499,CHEMFAB,541269.0
500,CHEMPLASTS,543336.0
501,CHROMATIC,530191.0
502,CLNINDIA,506390.0
503,CLEAN,543318.0
504,DEEPAKFERT,500645.0
505,DEEPAKNTR,506401.0
506,DICIND,500089.0
507,DYNPRO,532707.0
508,EXCELINDUS,500650.0
509,FAIRCHEMOR,543252.0
510,FINEORG,541557.0
511,FCL,533333.0
512,FOSECOIND,500150.0
513,GHCL,500171.0
514,GOACARBON,509567.0
515,GOCLCORP,506480.0
516,GODREJIND,500164.0
517,GULFPETRO,532543.0
518,GRAUWEIL,505710.0
519,GUJALKALI,530001.0
520,FLUOROCHEM,542812.0
521,GULFOILLUB,538567.0
522,GULPOLY,532457.0
523,HSCL,500184.0
524,HOCL,500449.0
525,HINDCON,
526,IGPL,500199.0
527,INDIAGLYCO,500201.0
528,IVP,507580.0
529,JAYAGROGN,524330.0
530,JOCIL,
531,JUBLINDS,533320.0
532,KANORICHEM,506525.0
533,KIRIINDUS,532967.0
534,LXCHEM,543277.0
535,LINDEINDIA,523457.0
536,MAHICKRA,
537,MFL,543332.0
538,NAVINFLUOR,532504.0
539,NEOGEN,542665.0
540,NOCIL,500730.0
541,OAL,500078.0
542,OCCL,506579.0
543,PHILIPCARB,506590.0
544,PIDILITIND,500331.0
545,PLASTIBLEN,523648.0
546,PODDARMENT,524570.0
547,PREMEXPLN,526247.0
548,PRIVISCL,530117.0
549,PROLIFE,
550,PUNJABCHEM,506618.0
551,REFEX,532884.0
552,ROSSARI,543213.0
553,SHK,539450.0
554,SANGINITA,
555,SEYAIND,524324.0
556,SHREEPUSHK,539334.0
557,SOLARINDS,532725.0
558,SRHHYPOLTD,532842.0
559,SUDARSCHEM,506655.0
560,TNPETRO,500777.0
561,TATACHEM,500770.0
562,TATVA,543321.0
563,TIRUMALCHM,500412.0
564,TIDEWATER,590005.0
565,UCL,
566,VSCL,
567,VALIANTORG,540145.0
568,VIDHIING,531717.0
569,VIKASWSP,519307.0
570,VINATIORGA,524200.0
571,VISHNU,516072.0
572,A2ZINFRA,533292.0
573,AARON,
574,ACE,532762.0
575,ADORWELD,517041.0
576,BEML,500048.0
577,BDL,541143.0
578,CARBORUNIV,513375.0
579,CEBBCO,533272.0
580,CUMMINSIND,500480.0
581,DENORA,590031.0
582,DYNAMATECH,505242.0
583,EIMCOELECO,523708.0
584,ELECON,505700.0
585,ELGIEQUIP,522074.0
586,ESABINDIA,500133.0
587,FELIX,
588,GMMPFAUDLR,505255.0
589,GRAPHITE,509488.0
590,GREAVESCOT,501455.0
591,GRINDWELL,506076.0
592,GUJAPOLLO,522217.0
593,HEG,509631.0
594,HERCULES,505720.0
595,HAL,541154.0
596,HLEGLAS,522215.0
597,INGERRAND,500210.0
598,ISGEC,533033.0
599,JASH,
600,KABRAEXTRU,524109.0
601,KENNAMET,505890.0
602,KIRLOSBROS,500241.0
603,KIRLOSENG,533293.0
604,KSB,500249.0
605,LATTEYS,
606,LOKESHMACH,532740.0
607,MANUGRAPH,505324.0
608,MAZDA,523792.0
609,NITINFIRE,532854.0
610,ORIENTABRA,504879.0
611,PITTIENG,513519.0
612,POWERMECH,539302.0
613,PRAJIND,522205.0
614,PREMIER,500540.0
615,REVATHI,505368.0
616,SANGHVIMOV,530073.0
617,SHAKTIPUMP,531431.0
618,SWARAJENG,500407.0
619,TEXRAIL,533326.0
620,THERMAX,500411.0
621,TIL,505196.0
622,TWL,532966.0
623,TRF,505854.0
624,UNIDT,522014.0
625,WABAG,533269.0
626,WALCHANNAG,507410.0
627,WENDT,505412.0
628,WINDMACHIN,522029.0
629,YUKEN,522108.0
630,COCHINSHIP,540678.0
631,GRSE,542011.0
632,MAZDOCK,543237.0
633,RNAVAL,533107.0
634,ASAHIINDIA,515030.0
635,BANARBEADS,526849.0
636,BOROLTD,543212.0
637,BORORENEW,502219.0
638,HINDNATGLS,515145.0
639,JIKIND,511618.0
640,LAOPALA,526947.0
641,GODFRYPHLP,500163.0
642,GOLDENTOBC,500151.0
643,ITC,500875.0
644,VSTIND,509966.0
645,BIGBLOC,540061.0
646,EVERESTIND,508906.0
647,HIL,509675.0
648,RAMCOIND,532369.0
649,VISAKAIND,509055.0
650,INDIGRID,
651,PGINVIT,543290.0
652,CEREBRAINT,532413.0
653,COMPINFO,532456.0
654,DLINKINDIA,533146.0
655,HCL-INSYS,500179.0
656,MRO-TEK,532376.0
657,PANACHE,
658,TVSELECT,532513.0
659,ASHOKLEY,500477.0
660,ATULAUTO,531795.0
661,BAJAJ-AUTO,532977.0
662,EICHERMOT,505200.0
663,ESCORTS,500495.0
664,FORCEMOT,500033.0
665,HEROMOTOCO,500182.0
666,HINDMOTORS,500500.0
667,M&M,500520.0
668,MARUTI,532500.0
669,SMLISUZU,505192.0
670,TATAMOTORS,500570.0
671,TATAMTRDVR,570001.0
672,TVSMOTOR,532343.0
673,VSTTILLERS,531266.0
674,INDIAMART,542726.0
675,NAUKRI,532777.0
676,JUSTDIAL,535648.0
677,NURECA,543264.0
678,ZOMATO,543320.0
679,ADANIGREEN,541450.0
680,ADANIPOWER,533096.0
681,ADANITRANS,539254.0
682,BFUTILITIE,532430.0
683,CESC,500084.0
684,ENERGYDEV,532219.0
685,GIPCL,517300.0
686,DPSCLTD,
687,INDOWIND,532894.0
688,IWEL,543297.0
689,JPPOWER,532627.0
690,JSWENERGY,533148.0
691,KARMAENG,533451.0
692,KKVAPOW,
693,NHPC,533098.0
694,NLCINDIA,513683.0
695,NTPC,532555.0
696,GREENPOWER,533263.0
697,POWERGRID,532898.0
698,RTNINDIA,534597.0
699,RTNPOWER,533122.0
700,RPOWER,532939.0
701,SJVN,533206.0
702,SOLEX,
703,TATAPOWER,500400.0
704,TORNTPOWER,532779.0
705,BIRET,543261.0
706,EMBASSY,
707,MINDSPACE,543217.0
708,3MINDIA,523395.0
709,ADANIENT,512599.0
710,AEGISCHEM,500003.0
711,AKG,
712,AMBICAAGAR,532335.0
713,ANIKINDS,519383.0
714,ANMOL,542437.0
715,ASPINWALL,
716,BALAXI,
717,BCONCEPTS,
718,CARTRADE,543333.0
719,CREATIVE,
720,DCI,
721,FCONSUMER,533400.0
722,HEXATRADEX,534328.0
723,KHAITANLTD,590068.0
724,KOTHARIPRO,530299.0
725,KRIDHANINF,533482.0
726,MMTC,513377.0
727,MSTCLTD,542597.0
728,OPTIEMUS,530135.0
729,PRAXIS,540901.0
730,PROINDIA,590057.0
731,PTC,532524.0
732,RMCL,532692.0
733,RAIN,500339.0
734,RAJMET,
735,REDINGTON,532805.0
736,STCINDIA,512531.0
737,SAKUMA,532713.0
738,SHANKARA,540425.0
739,SHIVAUM,
740,SHRENIK,
741,SHUBHLAXMI,
742,SICAGEN,533014.0
743,SIDDHIKA,
744,SIGIND,512131.0
745,SIRCA,
746,SHIL,542905.0
747,SIL,530017.0
748,STEELXIND,534748.0
749,SUULD,780011.0
750,SVPGLOB,505590.0
751,TEMBO,
752,UNIENTER,500429.0
753,URJA,526987.0
754,VAISHALI,
755,VCL,
756,VIKASLIFE,542655.0
757,VINYLINDIA,524129.0
758,VIVIDHA,506146.0
759,YAARII,533520.0
760,21STCENMGM,526921.0
761,3PLAND,516092.0
762,5PAISA,540776.0
763,AAVAS,541988.0
764,ABCAPITAL,540691.0
765,ALMONDZ,531400.0
766,ANGELBRKG,543235.0
767,APTUS,543335.0
768,ARMANFIN,531179.0
769,ASCOM,
770,AUSOMENT,509009.0
771,BAJFINANCE,500034.0
772,BAJAJFINSV,532978.0
773,BAJAJHLDNG,500490.0
774,BFINVEST,533303.0
775,BLBLIMITED,532290.0
776,BLUECHIP,531936.0
777,CANFINHOME,511196.0
778,CAPTRUST,511505.0
779,CGCL,531595.0
780,CENTRUM,501150.0
781,CHOLAHLDNG,504973.0
782,CHOLAFIN,511243.0
783,CONSOFINVT,500226.0
784,CORALFINAC,531556.0
785,CREDITACC,541770.0
786,CREST,511413.0
787,DCMFINSERV,511611.0
788,DELPHIFX,533452.0
789,DHANI,532960.0
790,DHUNINV,533336.0
791,DOLAT,505526.0
792,EDELWEISS,532922.0
793,EQUITAS,539844.0
794,GANGESSECU,540647.0
795,GFLLIMITED,500173.0
796,GICHSGFIN,511676.0
797,GLFL,500174.0
798,GUJSTATFIN,532160.0
799,HDFC,500010.0
800,HUDCO,540530.0
801,HBSL,532216.0
802,HDFCAMC,541729.0
803,HOMEFIRST,543259.0
804,IDFC,532659.0
805,IRFC,543257.0
806,ICDSLTD,511194.0
807,ISEC,541179.0
808,IFCI,500106.0
809,IIFL,532636.0
810,IIFLSEC,542773.0
811,IIFLWAM,542772.0
812,IVC,511208.0
813,IBULHSGFIN,535789.0
814,IITL,501295.0
815,INDOTHAI,533676.0
816,INDOSTAR,541336.0
817,INVENTURE,533506.0
818,JPOLYINVST,536773.0
819,JMFINANCIL,523405.0
820,JSWHL,532642.0
821,KICL,533302.0
822,KEYFINSERV,512597.0
823,KHANDSE,531892.0
824,KIRLOSIND,500243.0
825,L&TFH,533519.0
826,LFIC,
827,LICHSGFIN,500253.0
828,M&MFIN,532720.0
829,MAHSCOOTER,500266.0
830,MAHAPEXLTD,523384.0
831,MANAPPURAM,531213.0
832,MASFIN,540749.0
833,MASKINVEST,
834,MFSL,500271.0
835,MAXVIL,539940.0
836,MCDHOLDING,532852.0
837,MOTILALOFS,532892.0
838,MOTOGENFIN,501343.0
839,MUTHOOTCAP,511766.0
840,MUTHOOTFIN,533398.0
841,NDGL,
842,NAGREEKCAP,532895.0
843,NAHARCAP,532952.0
844,NSIL,532256.0
845,NBIFIN,
846,NAM-INDIA,540767.0
847,ONELIFECAP,533632.0
848,BINDALAGRO,539290.0
849,PAISALO,532900.0
850,PALASHSECU,540648.0
851,SRGINFOTEC,511525.0
852,PILANIINVS,539883.0
853,PNBGILTS,532366.0
854,PNBHOUSING,540173.0
855,POONAWALLA,524000.0
856,PFC,532810.0
857,PRIMESECU,500337.0
858,PFS,533344.0
859,RANEHOLDIN,505800.0
860,RECLTD,532955.0
861,RELCAPITAL,500111.0
862,RHFL,540709.0
863,RELIGARE,532915.0
864,REPCOHOME,535322.0
865,SASTASUNDR,533259.0
866,SATIN,539404.0
867,SBICARD,543066.0
868,SHAREINDIA,540725.0
869,SHRIRAMCIT,532498.0
870,SRTRANSFIN,511218.0
871,SILINV,521194.0
872,SMARTLINK,532419.0
873,SMCGLOBAL,543263.0
874,SPANDANA,542759.0
875,SREINFRA,523756.0
876,SCAPDVR,570005.0
877,STAMPEDE,531723.0
878,STEL,533316.0
879,SUMMITSEC,533306.0
880,SUNDARMHLD,
881,SUNDARMFIN,590071.0
882,TATAINVEST,501301.0
883,TCIFINANCE,501242.0
884,THEINVEST,530023.0
885,TIMESGTY,511559.0
886,TFCILTD,526650.0
887,TFL,532812.0
888,UGROCAP,511742.0
889,UJJIVAN,539874.0
890,UTIAMC,543238.0
891,VHL,500439.0
892,VIJIFIN,537820.0
893,VLSFINANCE,511333.0
894,WEALTH,
895,WELINV,533252.0
896,WILLAMAGOR,519224.0
897,AARVI,
898,AILIMITED,
899,ACEINTEG,
900,AFFLE,542752.0
901,AGRITECH,537292.0
902,AIROLAM,
903,AJOONI,
904,AWHCL,543254.0
905,APEX,540692.0
906,ADL,543231.0
907,ARCHIDPLY,532994.0
908,AROGRANITE,513729.0
909,AVANTIFEED,512573.0
910,BANKA,
911,BSHSL,
912,BSE,
913,CDSL,
914,CAMS,543232.0
915,CENTURYPLY,532548.0
916,CONFIPET,526829.0
917,CONTI,
918,COX&KINGS,533144.0
919,CROWN,
920,CUPID,530843.0
921,DRCSYSTEMS,543268.0
922,DREDGECORP,523618.0
923,EASEMYTRIP,543272.0
924,FMNL,533296.0
925,GKWLIMITED,504704.0
926,GODREJAGRO,540743.0
927,GREENLAM,538979.0
928,GREENPANEL,542857.0
929,GREENPLY,526797.0
930,GUJGASLTD,539336.0
931,IEX,540750.0
932,JINDALPHOT,532624.0
933,JIYAECO,539225.0
934,JUBLINGREA,543271.0
935,KAPSTON,
936,KSCL,532899.0
937,KEERTI,
938,KTIL,533289.0
939,MADHAV,515093.0
940,MANGTIMBER,516007.0
941,MATRIMONY,540704.0
942,MAXIND,543223.0
943,MILTON,
944,MITCON,
945,MODIRUBBER,500890.0
946,MCX,534091.0
947,NATHBIOGEN,537291.0
948,NAVKARCORP,539332.0
949,NESCO,505355.0
950,NETWORK18,532798.0
951,OMFURN,
952,ORIENTALTL,532817.0
953,PARTYCRUS,
954,PAVNAIND,
955,POKARNA,532486.0
956,PRESSMN,509077.0
957,PTL,509220.0
958,RUCHINFRA,509020.0
959,RUSHIL,533470.0
960,SECURCRED,
961,OSWALSEEDS,
962,SIS,540673.0
963,SORILINFRA,532679.0
964,SPARC,532872.0
965,HAVISHA,531322.0
966,STYLAMIND,526951.0
967,SUVIDHAA,543281.0
968,TCIEXP,540212.0
969,TEAMLEASE,539658.0
970,THOMASCOOK,500413.0
971,TOTAL,
972,TIINDIA,540762.0
973,UNIVPHOTO,542933.0
974,VENKEYS,523261.0
975,VERTOZ,
976,VIKASPROP,531518.0
977,VIMTALABS,524394.0
978,WIPL,
979,WATERBASE,523660.0
980,BAGFILMS,532507.0
981,BALAJITELE,532382.0
982,BTML,
983,CINELINE,532807.0
984,CINEVISTA,532324.0
985,CREATIVEYE,532392.0
986,DELTACORP,532848.0
987,DEN,533137.0
988,DGCONTENT,542685.0
989,DISHTV,532839.0
990,DQE,533176.0
991,DALALSTCOM,526677.0
992,ENIL,532700.0
993,EROSMEDIA,533261.0
994,GTPL,540602.0
995,HATHWAY,533162.0
996,IMAGICAA,539056.0
997,INOXLEISUR,532706.0
998,JAINSTUDIO,532033.0
999,JUMPNET,531337.0
1000,MPTODAY,
1001,MUKTAARTS,532357.0
1002,RADIOCITY,540366.0
1003,NEXTMEDIA,532416.0
1004,NXTDIGITAL,500189.0
1005,ORTEL,539015.0
1006,PFOCUS,532748.0
1007,PNC,532387.0
1008,PVR,532689.0
1009,RADAAN,590070.0
1010,RAJTV,532826.0
