,nse,bse
0,ANDHRAPAP,502330.0
1,ASTRON,540824.0
2,BBTCL,
3,BALKRISHNA,539251.0
4,BALLARPUR,500102.0
5,CENTURYTEX,500040.0
6,EMAMIPAP,533208.0
7,GENUSPAPER,538961.0
8,JKPAPER,532162.0
9,KUANTUM,532937.0
10,MAGNUM,532896.0
11,MALUPAPER,532728.0
12,NRAIL,516082.0
13,ORIENTPPR,502420.0
14,PDMJEPAPER,539785.0
15,RUCHIRA,532785.0
16,SATIA,539201.0
17,SESHAPAPER,502450.0
18,RAMANEWS,500356.0
19,SHREYANIND,516016.0
20,STARPAPER,516022.0
21,TNPL,531426.0
22,WSTCSTPAPR,500444.0
23,WORTH,
24,ATGL,542066.0
25,DEEPENR,532760.0
26,DEEPINDS,543288.0
27,GAIL,532155.0
28,GSPL,532702.0
29,IGL,532514.0
30,MGL,539957.0
31,PETRONET,532522.0
32,3IINFOTECH,532628.0
33,63MOONS,526881.0
34,AAATECH,
35,ACCELYA,532268.0
36,ADROITINFO,532172.0
37,AGCNET,500463.0
38,AIRAN,
39,ALANKIT,531082.0
40,ADSL,532875.0
41,ALLSEC,532633.0
42,APOLLO,540879.0
43,AURIONPRO,532668.0
44,AXISCADES,532395.0
45,BARTRONICS,532694.0
46,BGLOBAL,533499.0
47,BSOFT,532400.0
48,BLS,540073.0
49,BCG,532368.0
50,CADSYS,
51,CALSOFT,532386.0
52,CTE,532801.0
53,CIGNITITEC,534758.0
54,COFORGE,532541.0
55,CRANESSOFT,512093.0
56,CYBERTECH,532173.0
57,CYIENT,532175.0
58,DATAMATICS,532528.0
59,DEVIT,
60,DUCON,534674.0
61,DSSL,532365.0
62,E2E,
63,ECLERX,532927.0
64,EXCEL,533090.0
65,EXPLEOSOL,533121.0
66,FCSSOFT,532666.0
67,FSL,532809.0
68,GENESYS,506109.0
69,GISOLUTION,533048.0
70,GOLDTECH,531439.0
71,GSS,532951.0
72,HAPPSTMNDS,543227.0
73,HCLTECH,532281.0
74,HGS,532859.0
75,HOVS,532761.0
76,INFIBEAM,539807.0
77,INFOBEAN,
78,INFY,500209.0
79,INNOVANA,
80,INSPIRISYS,532774.0
81,INTELLECT,538835.0
82,INTENTECH,532326.0
83,ISFT,533181.0
84,IZMO,532341.0
85,KELLTONTEC,519602.0
86,KPITTECH,542651.0
87,KSOLVES,
88,LTI,540005.0
89,LTTS,540115.0
90,LCCINFOTEC,532019.0
91,MAJESCO,539289.0
92,MASTEK,523704.0
93,MEGASOFT,532408.0
94,MELSTAR,532307.0
95,MINDTECK,517344.0
96,MINDTREE,532819.0
97,MPHASIS,526299.0
98,VISESHINFO,532411.0
99,NAZARA,543280.0
100,NPST,
101,NEWGEN,540900.0
102,NUCLEUS,531209.0
103,ONEPOINT,
104,ONWARDTEC,517536.0
105,OFSS,532466.0
106,PALREDTEC,532521.0
107,PERSISTENT,533179.0
108,QUICKHEAL,539678.0
109,QUINTEGRA,532866.0
110,RSSOFTWARE,517447.0
111,RSYSTEMS,532735.0
112,RAMCOSYS,532370.0
113,RELIABLE,
114,ROLTA,500366.0
115,ROUTE,543228.0
116,RPSGVENT,542333.0
117,SAKSOFT,590051.0
118,SASKEN,532663.0
119,SECURKLOUD,512161.0
120,SIGMA,
121,SILVERTUC,
122,SOFTTECH,
123,SONATSOFTW,532221.0
124,SPCENET,
125,SUBEXLTD,532348.0
126,TAKE,532890.0
127,TANLA,532790.0
128,TATAELXSI,500408.0
129,TCS,532540.0
130,TECHM,532755.0
131,TERASOFT,533982.0
132,TREJHARA,542233.0
133,TRIGYN,517562.0
134,VAKRANGEE,511431.0
135,WEWIN,
136,WIPRO,507685.0
137,XCHANGING,532616.0
138,XELPMOC,542367.0
139,ZENTEC,533339.0
140,ZENSARTECH,504067.0
141,DPABHUSHAN,
142,GOENKA,533189.0
143,GOLDIAM,526729.0
144,KALYANKJIL,543278.0
145,KANANIIND,506184.0
146,LGHL,
147,LYPSAGEMS,534532.0
148,MOKSH,
149,PCJEWELLER,534809.0
150,PENTAGOLD,
151,RAJESHEXPO,531500.0
152,RGL,532923.0
153,SILGO,
154,SONAHISONA,
155,TBZ,534369.0
156,THANGAMAYL,533158.0
157,TITAN,500114.0
158,VAIBHAVGBL,532156.0
159,ZODJRDMKJ,512587.0
160,ASTEC,533138.0
161,BAYERCROP,506285.0
162,BESTAGRO,539660.0
163,BHARATRAS,590021.0
164,DHANUKA,507717.0
165,HERANBA,543266.0
166,IPL,543311.0
167,INSECTICID,532851.0
168,MOL,543331.0
169,NACLIND,524709.0
170,PIIND,523642.0
171,RALLIS,500355.0
172,SHARDACROP,538666.0
173,SIKKO,
174,SUMICHEM,542920.0
175,UPL,512070.0
176,ANTGRAPHIC,526715.0
177,DBCORP,533151.0
178,DNAMEDIA,540789.0
179,HTMEDIA,532662.0
180,HMVL,533217.0
181,INFOMEDIA,509069.0
182,JAGRAN,532705.0
183,MPSLTD,532440.0
184,NAVNETEDUL,508989.0
185,NDTV,532529.0
186,REPRO,532687.0
187,SCHAND,540497.0
188,SABEVENTS,540081.0
189,SAMBHAAV,511630.0
190,SANDESH,526725.0
191,SUNDARAM,533166.0
192,TVTODAY,532515.0
193,UFO,539141.0
194,ARCOTECH,532914.0
195,CENTEXT,500083.0
