Genre,Artist,Song,Detected Tonic,Detected Mode,Errors,% Confidence
Jazz,Frank Sinatra,my_way,C,major,417,95.54439576877871%
Metal,Black Sabbath,Black Sabbath-Iron Man,D,major,756,86.00259211257175%
Metal,Black Sabbath,Black Sabbath-Paranoid,E,minor,6,99.84717269485482%
Metal,Black Sabbath,Black Sabbath-War pigs,E,minor,270,93.44182657274715%
Metal,Judas Priest,Judas Priest - Grinder,E,minor,131,94.72624798711755%
Metal,Judas Priest,Judas Priest - Living after Midnight,Db,minor,361,91.75234178661184%
Metal,Judas Priest,Judas Priest - Night Crawler,D,major,167,96.46336298178738%
Metal,Megadeth,Megadeth-Holy Wars The Punishment Due,E,minor,609,90.36849596710422%
Metal,Megadeth,Megadeth-Symphony Of Destruction,C,major,415,87.41661613098847%
Metal,Megadeth,Megadeth-Tornado Of Souls,D,major,195,96.0357796300061%
Metal,Metallica,EnterSandman,D,major,368,89.53356086461889%
Pop,Adele,Adele_-_Set_fire_to_the_rain,D,minor,0,100.0%
Pop,Adele,Adele_-_Skyfall,C,minor,97,94.41887226697354%
Pop,Adele,Love in the Dark,C,major,0,100.0%
Pop,Adele,Someone_Like_You_easy_piano,Gb,minor,0,100.0%
Pop,Billie Eilish,Billie Eilish - All The Good Girls Go To Hell  (midi by Carlo Prato) (www.cprato.com),Ab,minor,2,99.80099502487563%
Pop,Billie Eilish,Billie Eilish - Bad Guy  (midi by Carlo Prato) (www.cprato.com),G,minor,14,83.72093023255813%
Pop,Billie Eilish,Billie Eilish - No Time To Die (James Bond) (midi by Carlo Prato) (www,E,minor,11,91.85185185185185%
Pop,Billie Eilish,Billie Eilish - Therefore I Am- (midi by Carlo Prato) (www.cprato.com),D,minor,10,90.0%
Pop,Bruno Mars,Grenade,D,minor,22,98.4%
Pop,Bruno Mars,RunawayBaby,E,minor,94,97.80527667522765%
Pop,Bruno Mars,Thelazysong,Ab,minor,48,98.63052781740372%
Pop,Ed Sheeran,Ed Sheeran - Galway Girl  (midi by Carlo Prato) (www.cprato.com),Gb,minor,0,100.0%
Pop,Ed Sheeran,Ed Sheeran - Perfect  (midi by Carlo Prato) (www.cprato.com),F,minor,0,100.0%
Pop,Ed Sheeran,Ed Sheeran - Shape of You  (midi by Carlo Prato) (www.cprato.com),Db,minor,0,100.0%
Pop,Imagine Dragons,Believer_-_Imagine_Dragons,Db,major,111,92.43869209809264%
Pop,Imagine Dragons,Demons_-_Imagine_Dragons,C,minor,0,100.0%
Pop,Imagine Dragons,Radioactive,Gb,minor,4,99.81718464351006%
Pop,The Chainsmokers,The Chainsmokers - Paris  (midi by Carlo Prato) (www.cprato.com),D,major,0,100.0%
Pop,The Chainsmokers,The Chainsmokers feat. XYLØ - Setting Fires  (midi by Carlo Prato) (www.cprato.com),Ab,minor,0,100.0%
Pop,The Chainsmokers,The Chainsmokers ft. Halsey - Closer  (midi by Carlo Prato) (www.cprato.com),F,minor,0,100.0%
Pop,The Chainsmokers,The Chainsmokers ft. Phoebe Ryan - All We Know  (midi by Carlo Prato) (www.cprato.com),C,major,0,100.0%
Pop,The Weeknd,The Weeknd - Party Monster  (midi by Carlo Prato) (www.cprato.com),Eb,minor,0,100.0%
Pop,The Weeknd,The Weeknd - Reminder  (midi by Carlo Prato) (www.cprato.com),G,minor,0,100.0%
Pop,The Weeknd,The Weeknd ft. Daft Punk - I Feel It Coming  (midi by Carlo Prato) (www.cprato.com),C,minor,0,100.0%
Rock,Aerosmith,ComeTogether,C,major,145,94.45506692160612%
Rock,Aerosmith,DreamOn,F,minor,102,95.38043478260869%
Rock,Aerosmith,JaniesGotAGun,Ab,minor,104,94.98553519768564%
Rock,Eagles,HotelCalifornia,D,major,435,94.21696357351767%
Rock,Eagles,HowLong,C,major,62,98.94683200271785%
Rock,Eagles,TakeItEasy,E,minor,87,98.64083736916108%
Rock,Elton John,RocketMan,G,minor,72,96.35627530364373%
Rock,Elton John,TinyDancer,C,major,160,95.73787959509856%
Rock,Elton John,YourSong,C,minor,43,97.8005115089514%
Rock,Fall Out Boy,LightEmUp,D,minor,0,100.0%
Rock,Fall Out Boy,SugarWereGoingDown(2),E,minor,30,99.33569530558016%
Rock,Greenday,BoulevardofBrokenDreams,F,minor,496,92.6354862657758%
Rock,Greenday,GoodRiddance(TimeOfYourLife),E,minor,0,100.0%
Rock,Rolling Stones,PaintItBlack,D,major,455,90.54054054054053%
Rock,Rolling Stones,Satisfaction,D,major,274,93.62048894062865%
Rock,U2,IStillHavntFoundWhatImLookingFor,Db,major,1,99.96819338422391%
Rock,U2,WithorWithoutYou,C,minor,0,100.0%
