# dt	sn
# time = 0.033340000000000175
0.026680	0.261169
0.026720	0.261125
0.026760	0.260224
0.026800	0.262342
0.026840	0.260687
0.026880	0.261592
0.026920	0.260204
0.026960	0.261069
0.027000	0.261512
0.027040	0.260804
0.027080	0.260692
0.027120	0.261405
0.027160	0.260480
0.027200	0.262068
0.027240	0.259904
0.027280	0.260920
0.027320	0.260021
0.027360	0.261373
0.027400	0.260919
0.027440	0.261924
0.027480	0.260506
0.027520	0.261440
0.027560	0.261426
0.027600	0.259626
0.027640	0.260078
0.027680	0.260630
0.027720	0.261522
0.027760	0.260802
0.027800	0.260386
0.027840	0.261067
0.027880	0.260042
0.027920	0.260784
0.027960	0.261042
0.028000	0.260890
0.028040	0.260897
0.028080	0.261033
0.028120	0.261291
0.028160	0.261088
0.028200	0.260556
0.028240	0.261253
0.028280	0.261993
0.028320	0.261357
0.028360	0.261296
0.028400	0.261742
0.028440	0.260649
0.028480	0.261561
0.028520	0.260919
0.028560	0.260424
0.028600	0.260521
0.028640	0.261233
0.028680	0.259674
0.028720	0.261600
0.028760	0.261142
0.028800	0.261113
0.028840	0.260752
0.028880	0.260937
0.028920	0.260727
0.028960	0.261621
0.029000	0.261060
0.029040	0.260729
0.029080	0.261361
0.029120	0.261141
0.029160	0.260808
0.029200	0.260960
0.029240	0.261068
0.029280	0.260322
0.029320	0.261881
0.029360	0.260090
0.029400	0.261162
0.029440	0.260706
0.029480	0.260070
0.029520	0.260933
0.029560	0.262525
0.029600	0.260604
0.029640	0.260877
0.029680	0.261129
0.029720	0.261242
0.029760	0.260836
0.029800	0.261040
0.029840	0.260575
0.029880	0.260456
0.029920	0.261301
0.029960	0.260377
0.030000	0.261574
0.030040	0.261273
0.030080	0.260704
0.030120	0.261948
0.030160	0.262214
0.030200	0.260687
0.030240	0.260689
0.030280	0.261201
0.030320	0.260904
0.030360	0.261405
0.030400	0.261609
0.030440	0.261657
0.030480	0.260745
0.030520	0.260674
0.030560	0.260216
0.030600	0.260482
0.030640	0.260979
0.030680	0.261388
0.030720	0.261127
0.030760	0.260510
0.030800	0.260962
0.030840	0.261076
0.030880	0.260400
0.030920	0.261560
0.030960	0.260405
0.031000	0.260761
0.031040	0.261415
0.031080	0.261330
0.031120	0.261271
0.031160	0.260477
0.031200	0.260551
0.031240	0.261567
0.031280	0.260053
0.031320	0.260533
0.031360	0.260520
0.031400	0.260971
0.031440	0.260228
0.031480	0.260204
0.031520	0.260800
0.031560	0.261170
0.031600	0.260959
0.031640	0.261585
0.031680	0.260412
0.031720	0.260355
0.031760	0.260509
0.031800	0.260498
0.031840	0.260584
0.031880	0.260820
0.031920	0.261363
0.031960	0.260843
0.032000	0.259969
0.032040	0.261572
0.032080	0.260288
0.032120	0.261424
0.032160	0.260570
0.032200	0.261448
0.032240	0.260832
0.032280	0.261990
0.032320	0.261280
0.032360	0.261158
0.032400	0.261813
0.032440	0.259941
0.032480	0.261543
0.032520	0.260889
0.032560	0.261577
0.032600	0.260983
0.032640	0.261589
0.032680	0.259846
0.032720	0.260687
0.032760	0.261724
0.032800	0.260140
0.032840	0.261314
0.032880	0.260964
0.032920	0.260818
0.032960	0.260474
0.033000	0.260206
0.033040	0.259946
0.033080	0.260201
0.033120	0.261342
0.033160	0.260039
0.033200	0.260821
0.033240	0.260683
0.033280	0.260786
0.033320	0.260688
0.033360	0.260656
0.033400	0.260686
0.033440	0.261131
0.033480	0.260918
0.033520	0.261211
0.033560	0.261478
0.033600	0.261504
0.033640	0.259644
0.033680	0.261538
0.033720	0.260408
0.033760	0.261622
0.033800	0.261371
0.033840	0.259855
0.033880	0.260533
0.033920	0.261107
0.033960	0.260898
0.034000	0.260703
0.034040	0.260758
0.034080	0.261316
0.034120	0.261359
0.034160	0.261000
0.034200	0.261363
0.034240	0.261275
0.034280	0.261590
0.034320	0.260135
0.034360	0.259590
0.034400	0.259908
0.034440	0.261075
0.034480	0.261930
0.034520	0.260744
0.034560	0.261705
0.034600	0.260708
0.034640	0.260820
0.034680	0.261410
0.034720	0.260531
0.034760	0.261839
0.034800	0.262719
0.034840	0.260750
0.034880	0.262761
0.034920	0.271475
0.034960	0.286964
0.035000	0.325598
0.035040	0.399367
0.035080	0.501709
0.035120	0.628867
0.035160	0.777406
0.035200	0.913176
