Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,19.32,N/A,19.32,19.32,19.32,19.32
11/30/2021,19.66,N/A,19.66,19.66,19.66,19.66
11/29/2021,20.14,N/A,20.14,20.14,20.14,20.14
11/26/2021,19.91,N/A,19.91,19.91,19.91,19.91
11/24/2021,20.5,N/A,20.5,20.5,20.5,20.5
11/23/2021,20.25,N/A,20.25,20.25,20.25,20.25
11/22/2021,20.08,N/A,20.08,20.08,20.08,20.08
11/19/2021,20.17,N/A,20.17,20.17,20.17,20.17
11/18/2021,20.27,N/A,20.27,20.27,20.27,20.27
11/17/2021,20.28,N/A,20.28,20.28,20.28,20.28
11/16/2021,20.17,N/A,20.17,20.17,20.17,20.17
11/15/2021,20.29,N/A,20.29,20.29,20.29,20.29
11/12/2021,20.14,N/A,20.14,20.14,20.14,20.14
11/11/2021,20.13,N/A,20.13,20.13,20.13,20.13
11/10/2021,20.09,N/A,20.09,20.09,20.09,20.09
11/09/2021,20.15,N/A,20.15,20.15,20.15,20.15
11/08/2021,20.11,N/A,20.11,20.11,20.11,20.11
11/05/2021,20.17,N/A,20.17,20.17,20.17,20.17
11/04/2021,20.05,N/A,20.05,20.05,20.05,20.05
11/03/2021,20.27,N/A,20.27,20.27,20.27,20.27
11/02/2021,20.16,N/A,20.16,20.16,20.16,20.16
11/01/2021,20.02,N/A,20.02,20.02,20.02,20.02
10/29/2021,19.92,N/A,19.92,19.92,19.92,19.92
10/28/2021,20.13,N/A,20.13,20.13,20.13,20.13
10/27/2021,19.86,N/A,19.86,19.86,19.86,19.86
10/26/2021,20,N/A,20,20,20,20
10/25/2021,19.97,N/A,19.97,19.97,19.97,19.97
10/22/2021,19.9,N/A,19.9,19.9,19.9,19.9
10/21/2021,19.79,N/A,19.79,19.79,19.79,19.79
10/20/2021,19.75,N/A,19.75,19.75,19.75,19.75
10/19/2021,19.48,N/A,19.48,19.48,19.48,19.48
10/18/2021,19.48,N/A,19.48,19.48,19.48,19.48
10/15/2021,19.43,N/A,19.43,19.43,19.43,19.43
10/14/2021,19.45,N/A,19.45,19.45,19.45,19.45
10/13/2021,19.23,N/A,19.23,19.23,19.23,19.23
10/12/2021,19.1,N/A,19.1,19.1,19.1,19.1
10/11/2021,18.86,N/A,18.86,18.86,18.86,18.86
10/08/2021,18.8,N/A,18.8,18.8,18.8,18.8
10/07/2021,18.96,N/A,18.96,18.96,18.96,18.96
10/06/2021,18.91,N/A,18.91,18.91,18.91,18.91
10/05/2021,18.72,N/A,18.72,18.72,18.72,18.72
10/04/2021,18.87,N/A,18.87,18.87,18.87,18.87
10/01/2021,18.87,N/A,18.87,18.87,18.87,18.87
09/30/2021,18.61,N/A,18.61,18.61,18.61,18.61
09/29/2021,18.99,N/A,18.99,18.99,18.99,18.914
09/28/2021,18.85,N/A,18.85,18.85,18.85,18.7746
09/27/2021,18.92,N/A,18.92,18.92,18.92,18.8443
09/24/2021,19.19,N/A,19.19,19.19,19.19,19.1132
