Date,Close/Last,Volume,Open,High,Low
11/30/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/29/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/26/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/24/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/23/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/22/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/19/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/18/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/17/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/16/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/15/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/12/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/11/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/10/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/09/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/08/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/05/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/04/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/03/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/02/2021,$0.03,N/A,$0.03,$0.03,$0.03
11/01/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/29/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/28/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/27/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/26/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/25/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/22/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/21/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/20/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/19/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/18/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/15/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/14/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/13/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/12/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/11/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/08/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/07/2021,$0.03,N/A,$0.03,$0.03,$0.03
10/06/2021,$0.03,36163,$0.035,$0.035,$0.03
10/05/2021,$0.04,N/A,$0.04,$0.04,$0.04
10/04/2021,$0.04,12500,$0.041,$0.041,$0.04
10/01/2021,$0.043,N/A,$0.043,$0.043,$0.043
09/30/2021,$0.043,21303,$0.043,$0.043,$0.043
09/29/2021,$0.05,N/A,$0.05,$0.05,$0.05
09/28/2021,$0.05,N/A,$0.05,$0.05,$0.05
09/27/2021,$0.05,N/A,$0.05,$0.05,$0.05
09/24/2021,$0.05,19005,$0.053,$0.053,$0.05
09/23/2021,$0.05,N/A,$0.05,$0.05,$0.05
09/22/2021,$0.05,N/A,$0.05,$0.05,$0.05
09/21/2021,$0.05,8929,$0.05,$0.05,$0.05
09/20/2021,$0.07,N/A,$0.07,$0.07,$0.07
09/17/2021,$0.07,107248,$0.07,$0.07,$0.05
09/16/2021,$0.0351,4000,$0.035,$0.0351,$0.035
09/15/2021,$0.035,N/A,$0.035,$0.035,$0.035
09/14/2021,$0.035,100,$0.035,$0.035,$0.035
09/13/2021,$0.025,20000,$0.035,$0.035,$0.025
09/10/2021,$0.025,N/A,$0.025,$0.025,$0.025
09/09/2021,$0.025,N/A,$0.025,$0.025,$0.025
09/08/2021,$0.025,N/A,$0.025,$0.025,$0.025
09/07/2021,$0.025,N/A,$0.025,$0.025,$0.025
09/03/2021,$0.025,N/A,$0.025,$0.025,$0.025
