Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,90.64,N/A,90.64,90.64,90.64,90.64
11/30/2021,93.62,N/A,93.62,93.62,93.62,93.62
11/29/2021,95.63,N/A,95.63,95.63,95.63,95.63
11/26/2021,94.66,N/A,94.66,94.66,94.66,94.66
11/24/2021,95.41,N/A,95.41,95.41,95.41,95.41
11/23/2021,94.39,N/A,94.39,94.39,94.39,94.39
11/22/2021,95.64,N/A,95.64,95.64,95.64,95.64
11/19/2021,98.16,N/A,98.16,98.16,98.16,98.16
11/18/2021,98.61,N/A,98.61,98.61,98.61,98.61
11/17/2021,99.42,N/A,99.42,99.42,99.42,99.42
11/16/2021,100.06,N/A,100.06,100.06,100.06,100.06
11/15/2021,99.21,N/A,99.21,99.21,99.21,99.21
11/12/2021,99.62,N/A,99.62,99.62,99.62,99.62
11/11/2021,98.61,N/A,98.61,98.61,98.61,98.61
11/10/2021,98.83,N/A,98.83,98.83,98.83,98.83
11/09/2021,101.67,N/A,101.67,101.67,101.67,101.67
11/08/2021,101.14,N/A,101.14,101.14,101.14,101.14
11/05/2021,100.73,N/A,100.73,100.73,100.73,100.73
11/04/2021,101.04,N/A,101.04,101.04,101.04,101.04
11/03/2021,100.78,N/A,100.78,100.78,100.78,100.78
11/02/2021,100.66,N/A,100.66,100.66,100.66,100.66
11/01/2021,100.35,N/A,100.35,100.35,100.35,100.35
10/29/2021,99.3,N/A,99.3,99.3,99.3,99.3
10/28/2021,98.63,N/A,98.63,98.63,98.63,98.63
10/27/2021,97.94,N/A,97.94,97.94,97.94,97.94
10/26/2021,99.47,N/A,99.47,99.47,99.47,99.47
10/25/2021,99.91,N/A,99.91,99.91,99.91,99.91
10/22/2021,99.5,N/A,99.5,99.5,99.5,99.5
10/21/2021,99.57,N/A,99.57,99.57,99.57,99.57
10/20/2021,98.48,N/A,98.48,98.48,98.48,98.48
10/19/2021,98.5,N/A,98.5,98.5,98.5,98.5
10/18/2021,97.65,N/A,97.65,97.65,97.65,97.65
10/15/2021,97.39,N/A,97.39,97.39,97.39,97.39
10/14/2021,97.52,N/A,97.52,97.52,97.52,97.52
10/13/2021,95.98,N/A,95.98,95.98,95.98,95.98
10/12/2021,94.42,N/A,94.42,94.42,94.42,94.42
10/11/2021,93.42,N/A,93.42,93.42,93.42,93.42
10/08/2021,94.22,N/A,94.22,94.22,94.22,94.22
10/07/2021,95.36,N/A,95.36,95.36,95.36,95.36
10/06/2021,94.29,N/A,94.29,94.29,94.29,94.29
10/05/2021,93.99,N/A,93.99,93.99,93.99,93.99
10/04/2021,93.13,N/A,93.13,93.13,93.13,93.13
10/01/2021,95.21,N/A,95.21,95.21,95.21,95.21
09/30/2021,94.53,N/A,94.53,94.53,94.53,94.53
09/29/2021,94.58,N/A,94.58,94.58,94.58,94.58
09/28/2021,94.63,N/A,94.63,94.63,94.63,94.63
09/27/2021,97.51,N/A,97.51,97.51,97.51,97.51
09/24/2021,98.73,N/A,98.73,98.73,98.73,98.73
09/23/2021,99.25,N/A,99.25,99.25,99.25,99.25
09/22/2021,98.51,N/A,98.51,98.51,98.51,98.51
09/21/2021,97.27,N/A,97.27,97.27,97.27,97.27
