Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,9.65,N/A,9.65,9.65,9.65,9.65
11/30/2021,9.64,N/A,9.64,9.64,9.64,9.64
11/29/2021,9.62,N/A,9.62,9.62,9.62,9.62
11/26/2021,9.98,N/A,9.98,9.98,9.98,9.6371
11/24/2021,9.92,N/A,9.92,9.92,9.92,9.5791
11/23/2021,9.92,N/A,9.92,9.92,9.92,9.5791
11/22/2021,9.95,N/A,9.95,9.95,9.95,9.6081
11/19/2021,9.99,N/A,9.99,9.99,9.99,9.6467
11/18/2021,9.97,N/A,9.97,9.97,9.97,9.6274
11/17/2021,9.96,N/A,9.96,9.96,9.96,9.6178
11/16/2021,9.95,N/A,9.95,9.95,9.95,9.6081
11/15/2021,9.96,N/A,9.96,9.96,9.96,9.6178
11/12/2021,9.98,N/A,9.98,9.98,9.98,9.6371
11/11/2021,9.99,N/A,9.99,9.99,9.99,9.6467
11/10/2021,10,N/A,10,10,10,9.6564
11/09/2021,10.06,N/A,10.06,10.06,10.06,9.7143
11/08/2021,10.03,N/A,10.03,10.03,10.03,9.6853
11/05/2021,10.04,N/A,10.04,10.04,10.04,9.695
11/04/2021,10.01,N/A,10.01,10.01,10.01,9.666
11/03/2021,9.98,N/A,9.98,9.98,9.98,9.6371
11/02/2021,10,N/A,10,10,10,9.6564
11/01/2021,9.99,N/A,9.99,9.99,9.99,9.6467
10/29/2021,10,N/A,10,10,10,9.6564
10/28/2021,10,N/A,10,10,10,9.6379
10/27/2021,10.02,N/A,10.02,10.02,10.02,9.6572
10/26/2021,9.98,N/A,9.98,9.98,9.98,9.6187
10/25/2021,9.97,N/A,9.97,9.97,9.97,9.609
10/22/2021,9.96,N/A,9.96,9.96,9.96,9.5994
10/21/2021,9.96,N/A,9.96,9.96,9.96,9.5994
10/20/2021,9.97,N/A,9.97,9.97,9.97,9.609
10/19/2021,9.98,N/A,9.98,9.98,9.98,9.6187
10/18/2021,9.99,N/A,9.99,9.99,9.99,9.6283
