Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,9.83,N/A,9.83,9.83,9.83,9.83
11/30/2021,9.83,N/A,9.83,9.83,9.83,9.83
11/29/2021,9.81,N/A,9.81,9.81,9.81,9.81
11/26/2021,10.17,N/A,10.17,10.17,10.17,9.827
11/24/2021,10.11,N/A,10.11,10.11,10.11,9.769
11/23/2021,10.11,N/A,10.11,10.11,10.11,9.769
11/22/2021,10.13,N/A,10.13,10.13,10.13,9.7884
11/19/2021,10.17,N/A,10.17,10.17,10.17,9.827
11/18/2021,10.15,N/A,10.15,10.15,10.15,9.8077
11/17/2021,10.14,N/A,10.14,10.14,10.14,9.798
11/16/2021,10.14,N/A,10.14,10.14,10.14,9.798
11/15/2021,10.14,N/A,10.14,10.14,10.14,9.798
11/12/2021,10.17,N/A,10.17,10.17,10.17,9.827
11/11/2021,10.18,N/A,10.18,10.18,10.18,9.8367
11/10/2021,10.19,N/A,10.19,10.19,10.19,9.8463
11/09/2021,10.24,N/A,10.24,10.24,10.24,9.8947
11/08/2021,10.22,N/A,10.22,10.22,10.22,9.8753
11/05/2021,10.23,N/A,10.23,10.23,10.23,9.885
11/04/2021,10.19,N/A,10.19,10.19,10.19,9.8463
11/03/2021,10.17,N/A,10.17,10.17,10.17,9.827
11/02/2021,10.19,N/A,10.19,10.19,10.19,9.8463
11/01/2021,10.18,N/A,10.18,10.18,10.18,9.8367
10/29/2021,10.19,N/A,10.19,10.19,10.19,9.8463
10/28/2021,10.19,N/A,10.19,10.19,10.19,9.8326
10/27/2021,10.2,N/A,10.2,10.2,10.2,9.8423
10/26/2021,10.17,N/A,10.17,10.17,10.17,9.8133
10/25/2021,10.16,N/A,10.16,10.16,10.16,9.8037
10/22/2021,10.15,N/A,10.15,10.15,10.15,9.794
10/21/2021,10.15,N/A,10.15,10.15,10.15,9.794
10/20/2021,10.16,N/A,10.16,10.16,10.16,9.8037
10/19/2021,10.16,N/A,10.16,10.16,10.16,9.8037
10/18/2021,10.18,N/A,10.18,10.18,10.18,9.823
10/15/2021,10.18,N/A,10.18,10.18,10.18,9.823
10/14/2021,10.2,N/A,10.2,10.2,10.2,9.8423
10/13/2021,10.18,N/A,10.18,10.18,10.18,9.823
10/12/2021,10.17,N/A,10.17,10.17,10.17,9.8133
10/11/2021,10.15,N/A,10.15,10.15,10.15,9.794
10/08/2021,10.16,N/A,10.16,10.16,10.16,9.8037
10/07/2021,10.18,N/A,10.18,10.18,10.18,9.823
10/06/2021,10.19,N/A,10.19,10.19,10.19,9.8326
10/05/2021,10.19,N/A,10.19,10.19,10.19,9.8326
10/04/2021,10.21,N/A,10.21,10.21,10.21,9.8519
10/01/2021,10.22,N/A,10.22,10.22,10.22,9.8616
09/30/2021,10.19,N/A,10.19,10.19,10.19,9.8326
09/29/2021,10.19,N/A,10.19,10.19,10.19,9.8179
09/28/2021,10.19,N/A,10.19,10.19,10.19,9.8179
09/27/2021,10.22,N/A,10.22,10.22,10.22,9.8469
09/24/2021,10.22,N/A,10.22,10.22,10.22,9.8469
09/23/2021,10.24,N/A,10.24,10.24,10.24,9.8661
09/22/2021,10.27,N/A,10.27,10.27,10.27,9.895
09/21/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/20/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/17/2021,10.26,N/A,10.26,10.26,10.26,9.8854
09/16/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/15/2021,10.29,N/A,10.29,10.29,10.29,9.9143
09/14/2021,10.3,N/A,10.3,10.3,10.3,9.9239
09/13/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/10/2021,10.27,N/A,10.27,10.27,10.27,9.895
09/09/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/08/2021,10.26,N/A,10.26,10.26,10.26,9.8854
09/07/2021,10.25,N/A,10.25,10.25,10.25,9.8758
09/03/2021,10.27,N/A,10.27,10.27,10.27,9.895
09/02/2021,10.28,N/A,10.28,10.28,10.28,9.9047
09/01/2021,10.27,N/A,10.27,10.27,10.27,9.895
08/31/2021,10.27,N/A,10.27,10.27,10.27,9.895
08/30/2021,10.28,N/A,10.28,10.28,10.28,9.8903
08/27/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/26/2021,10.25,N/A,10.25,10.25,10.25,9.8614
08/25/2021,10.25,N/A,10.25,10.25,10.25,9.8614
08/24/2021,10.26,N/A,10.26,10.26,10.26,9.8711
08/23/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/20/2021,10.26,N/A,10.26,10.26,10.26,9.8711
08/19/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/18/2021,10.26,N/A,10.26,10.26,10.26,9.8711
08/17/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/16/2021,10.28,N/A,10.28,10.28,10.28,9.8903
08/13/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/12/2021,10.24,N/A,10.24,10.24,10.24,9.8518
08/11/2021,10.24,N/A,10.24,10.24,10.24,9.8518
08/10/2021,10.24,N/A,10.24,10.24,10.24,9.8518
08/09/2021,10.26,N/A,10.26,10.26,10.26,9.8711
08/06/2021,10.27,N/A,10.27,10.27,10.27,9.8807
08/05/2021,10.3,N/A,10.3,10.3,10.3,9.9096
08/04/2021,10.32,N/A,10.32,10.32,10.32,9.9288
08/03/2021,10.32,N/A,10.32,10.32,10.32,9.9288
08/02/2021,10.32,N/A,10.32,10.32,10.32,9.9288
07/30/2021,10.3,N/A,10.3,10.3,10.3,9.9096
07/29/2021,10.29,N/A,10.29,10.29,10.29,9.8845
07/28/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/27/2021,10.29,N/A,10.29,10.29,10.29,9.8845
07/26/2021,10.29,N/A,10.29,10.29,10.29,9.8845
07/23/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/22/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/21/2021,10.27,N/A,10.27,10.27,10.27,9.8653
07/20/2021,10.29,N/A,10.29,10.29,10.29,9.8845
07/19/2021,10.31,N/A,10.31,10.31,10.31,9.9037
07/16/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/15/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/14/2021,10.26,N/A,10.26,10.26,10.26,9.8557
07/13/2021,10.24,N/A,10.24,10.24,10.24,9.8365
07/12/2021,10.26,N/A,10.26,10.26,10.26,9.8557
07/09/2021,10.25,N/A,10.25,10.25,10.25,9.8461
07/08/2021,10.28,N/A,10.28,10.28,10.28,9.8749
07/07/2021,10.27,N/A,10.27,10.27,10.27,9.8653
07/06/2021,10.26,N/A,10.26,10.26,10.26,9.8557
07/02/2021,10.24,N/A,10.24,10.24,10.24,9.8365
07/01/2021,10.22,N/A,10.22,10.22,10.22,9.8173
06/30/2021,10.23,N/A,10.23,10.23,10.23,9.8269
06/29/2021,10.21,N/A,10.21,10.21,10.21,9.7922
06/28/2021,10.21,N/A,10.21,10.21,10.21,9.7922
06/25/2021,10.19,N/A,10.19,10.19,10.19,9.773
06/24/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/23/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/22/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/21/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/18/2021,10.22,N/A,10.22,10.22,10.22,9.8018
06/17/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/16/2021,10.18,N/A,10.18,10.18,10.18,9.7635
06/15/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/14/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/11/2021,10.22,N/A,10.22,10.22,10.22,9.8018
06/10/2021,10.21,N/A,10.21,10.21,10.21,9.7922
06/09/2021,10.2,N/A,10.2,10.2,10.2,9.7826
06/08/2021,10.19,N/A,10.19,10.19,10.19,9.773
06/07/2021,10.17,N/A,10.17,10.17,10.17,9.7539
06/04/2021,10.18,N/A,10.18,10.18,10.18,9.7635
06/03/2021,10.16,N/A,10.16,10.16,10.16,9.7443
06/02/2021,10.17,N/A,10.17,10.17,10.17,9.7539
06/01/2021,10.16,N/A,10.16,10.16,10.16,9.7443
05/28/2021,10.16,N/A,10.16,10.16,10.16,9.7443
05/27/2021,10.16,N/A,10.16,10.16,10.16,9.7279
05/26/2021,10.17,N/A,10.17,10.17,10.17,9.7374
05/25/2021,10.17,N/A,10.17,10.17,10.17,9.7374
05/24/2021,10.15,N/A,10.15,10.15,10.15,9.7183
05/21/2021,10.14,N/A,10.14,10.14,10.14,9.7087
05/20/2021,10.14,N/A,10.14,10.14,10.14,9.7087
05/19/2021,10.12,N/A,10.12,10.12,10.12,9.6896
05/18/2021,10.14,N/A,10.14,10.14,10.14,9.7087
05/17/2021,10.14,N/A,10.14,10.14,10.14,9.7087
05/14/2021,10.15,N/A,10.15,10.15,10.15,9.7183
05/13/2021,10.13,N/A,10.13,10.13,10.13,9.6991
05/12/2021,10.12,N/A,10.12,10.12,10.12,9.6896
05/11/2021,10.15,N/A,10.15,10.15,10.15,9.7183
05/10/2021,10.17,N/A,10.17,10.17,10.17,9.7374
05/07/2021,10.18,N/A,10.18,10.18,10.18,9.747
05/06/2021,10.18,N/A,10.18,10.18,10.18,9.747
05/05/2021,10.17,N/A,10.17,10.17,10.17,9.7374
05/04/2021,10.16,N/A,10.16,10.16,10.16,9.7279
05/03/2021,10.15,N/A,10.15,10.15,10.15,9.7183
04/30/2021,10.14,N/A,10.14,10.14,10.14,9.7087
04/29/2021,10.14,N/A,10.14,10.14,10.14,9.6923
04/28/2021,10.14,N/A,10.14,10.14,10.14,9.6923
04/27/2021,10.14,N/A,10.14,10.14,10.14,9.6923
04/26/2021,10.16,N/A,10.16,10.16,10.16,9.7114
04/23/2021,10.16,N/A,10.16,10.16,10.16,9.7114
04/22/2021,10.16,N/A,10.16,10.16,10.16,9.7114
04/21/2021,10.15,N/A,10.15,10.15,10.15,9.7018
04/20/2021,10.15,N/A,10.15,10.15,10.15,9.7018
04/19/2021,10.14,N/A,10.14,10.14,10.14,9.6923
04/16/2021,10.15,N/A,10.15,10.15,10.15,9.7018
04/15/2021,10.17,N/A,10.17,10.17,10.17,9.7209
04/14/2021,10.12,N/A,10.12,10.12,10.12,9.6731
04/13/2021,10.12,N/A,10.12,10.12,10.12,9.6731
04/12/2021,10.1,N/A,10.1,10.1,10.1,9.654
04/09/2021,10.1,N/A,10.1,10.1,10.1,9.654
04/08/2021,10.11,N/A,10.11,10.11,10.11,9.6636
04/07/2021,10.1,N/A,10.1,10.1,10.1,9.654
04/06/2021,10.1,N/A,10.1,10.1,10.1,9.654
04/05/2021,10.08,N/A,10.08,10.08,10.08,9.6349
04/01/2021,10.09,N/A,10.09,10.09,10.09,9.6445
03/31/2021,10.05,N/A,10.05,10.05,10.05,9.6062
03/30/2021,10.05,N/A,10.05,10.05,10.05,9.5899
03/29/2021,10.05,N/A,10.05,10.05,10.05,9.5899
03/26/2021,10.07,N/A,10.07,10.07,10.07,9.609
03/25/2021,10.08,N/A,10.08,10.08,10.08,9.6185
03/24/2021,10.09,N/A,10.09,10.09,10.09,9.6281
03/23/2021,10.08,N/A,10.08,10.08,10.08,9.6185
03/22/2021,10.06,N/A,10.06,10.06,10.06,9.5994
03/19/2021,10.03,N/A,10.03,10.03,10.03,9.5708
03/18/2021,10.03,N/A,10.03,10.03,10.03,9.5708
03/17/2021,10.06,N/A,10.06,10.06,10.06,9.5994
03/16/2021,10.07,N/A,10.07,10.07,10.07,9.609
03/15/2021,10.07,N/A,10.07,10.07,10.07,9.609
03/12/2021,10.06,N/A,10.06,10.06,10.06,9.5994
03/11/2021,10.11,N/A,10.11,10.11,10.11,9.6471
03/10/2021,10.1,N/A,10.1,10.1,10.1,9.6376
03/09/2021,10.09,N/A,10.09,10.09,10.09,9.6281
03/08/2021,10.08,N/A,10.08,10.08,10.08,9.6185
03/05/2021,10.1,N/A,10.1,10.1,10.1,9.6376
03/04/2021,10.11,N/A,10.11,10.11,10.11,9.6471
03/03/2021,10.14,N/A,10.14,10.14,10.14,9.6758
