Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,50.49,N/A,50.49,50.49,50.49,50.49
11/30/2021,50.57,N/A,50.57,50.57,50.57,50.57
11/29/2021,51.2,N/A,51.2,51.2,51.2,51.2
11/26/2021,50.65,N/A,50.65,50.65,50.65,50.65
11/24/2021,52.55,N/A,52.55,52.55,52.55,52.55
11/23/2021,52.53,N/A,52.53,52.53,52.53,52.53
11/22/2021,52.5,N/A,52.5,52.5,52.5,52.5
11/19/2021,53.43,N/A,53.43,53.43,53.43,53.43
11/18/2021,53.63,N/A,53.63,53.63,53.63,53.63
11/17/2021,53.97,N/A,53.97,53.97,53.97,53.97
11/16/2021,54.55,N/A,54.55,54.55,54.55,54.55
11/15/2021,54.36,N/A,54.36,54.36,54.36,54.36
11/12/2021,54.36,N/A,54.36,54.36,54.36,54.36
11/11/2021,53.94,N/A,53.94,53.94,53.94,53.94
11/10/2021,53.33,N/A,53.33,53.33,53.33,53.33
11/09/2021,53.75,N/A,53.75,53.75,53.75,53.75
11/08/2021,53.33,N/A,53.33,53.33,53.33,53.33
11/05/2021,53.07,N/A,53.07,53.07,53.07,53.07
11/04/2021,52.88,N/A,52.88,52.88,52.88,52.88
11/03/2021,53.11,N/A,53.11,53.11,53.11,53.11
11/02/2021,52.93,N/A,52.93,52.93,52.93,52.93
11/01/2021,53.22,N/A,53.22,53.22,53.22,53.22
10/29/2021,52.83,N/A,52.83,52.83,52.83,52.83
10/28/2021,53.44,N/A,53.44,53.44,53.44,53.44
10/27/2021,53.49,N/A,53.49,53.49,53.49,53.49
10/26/2021,53.91,N/A,53.91,53.91,53.91,53.91
10/25/2021,54.12,N/A,54.12,54.12,54.12,54.12
10/22/2021,53.75,N/A,53.75,53.75,53.75,53.75
10/21/2021,53.65,N/A,53.65,53.65,53.65,53.65
10/20/2021,53.79,N/A,53.79,53.79,53.79,53.79
10/19/2021,53.71,N/A,53.71,53.71,53.71,53.71
10/18/2021,53.31,N/A,53.31,53.31,53.31,53.31
10/15/2021,53.46,N/A,53.46,53.46,53.46,53.46
10/14/2021,52.9,N/A,52.9,52.9,52.9,52.9
10/13/2021,52.4,N/A,52.4,52.4,52.4,52.4
10/12/2021,52.01,N/A,52.01,52.01,52.01,52.01
10/11/2021,52.24,N/A,52.24,52.24,52.24,52.24
10/08/2021,52.21,N/A,52.21,52.21,52.21,52.21
10/07/2021,52.31,N/A,52.31,52.31,52.31,52.31
10/06/2021,51.56,N/A,51.56,51.56,51.56,51.56
10/05/2021,51.65,N/A,51.65,51.65,51.65,51.65
10/04/2021,51.22,N/A,51.22,51.22,51.22,51.22
10/01/2021,52.03,N/A,52.03,52.03,52.03,52.03
09/30/2021,51.74,N/A,51.74,51.74,51.74,51.74
09/29/2021,51.76,N/A,51.76,51.76,51.76,51.76
09/28/2021,51.87,N/A,51.87,51.87,51.87,51.87
09/27/2021,52.87,N/A,52.87,52.87,52.87,52.87
09/24/2021,52.85,N/A,52.85,52.85,52.85,52.85
09/23/2021,53.12,N/A,53.12,53.12,53.12,53.12
09/22/2021,52.56,N/A,52.56,52.56,52.56,52.56
09/21/2021,51.98,N/A,51.98,51.98,51.98,51.98
