Date,Close/Last,Volume,Open,High,Low
11/30/2021,$0,N/A,$0,$0,$0
11/29/2021,$0,N/A,$0,$0,$0
11/26/2021,$0,N/A,$0,$0,$0
11/24/2021,$0,N/A,$0,$0,$0
11/23/2021,$0,N/A,$0,$0,$0
11/22/2021,$0,N/A,$0,$0,$0
11/19/2021,$0,N/A,$0,$0,$0
11/18/2021,$0,N/A,$0,$0,$0
11/17/2021,$0,N/A,$0,$0,$0
11/16/2021,$0,N/A,$0,$0,$0
11/15/2021,$0,N/A,$0,$0,$0
11/12/2021,$0,N/A,$0,$0,$0
11/11/2021,$0,N/A,$0,$0,$0
11/10/2021,$0,N/A,$0,$0,$0
11/09/2021,$0,N/A,$0,$0,$0
11/08/2021,$0,N/A,$0,$0,$0
11/05/2021,$0,N/A,$0,$0,$0
11/04/2021,$0,N/A,$0,$0,$0
11/03/2021,$0,N/A,$0,$0,$0
11/02/2021,$0,N/A,$0,$0,$0
11/01/2021,$0,20000,$0,$0,$0
10/29/2021,$0,N/A,$0,$0,$0
10/28/2021,$0,N/A,$0,$0,$0
10/27/2021,$0,N/A,$0,$0,$0
10/26/2021,$0,N/A,$0,$0,$0
10/25/2021,$0,N/A,$0,$0,$0
10/22/2021,$0,1000499,$0,$0,$0
10/21/2021,$0,1000000,$0,$0,$0
10/20/2021,$0,N/A,$0,$0,$0
10/19/2021,$0,N/A,$0,$0,$0
10/18/2021,$0,100000,$0,$0,$0
10/15/2021,$0,200000,$0,$0,$0
10/14/2021,$0,1002000,$0,$0.0001,$0
10/13/2021,$0,N/A,$0,$0,$0
10/12/2021,$0,N/A,$0,$0,$0
10/11/2021,$0,N/A,$0,$0,$0
10/08/2021,$0,N/A,$0,$0,$0
10/07/2021,$0,250000,$0,$0,$0
10/06/2021,$0.0004,N/A,$0.0004,$0.0004,$0.0004
10/05/2021,$0.0004,N/A,$0.0004,$0.0004,$0.0004
10/04/2021,$0.0004,N/A,$0.0004,$0.0004,$0.0004
10/01/2021,$0.0004,1000000,$0.0004,$0.0004,$0.0004
09/30/2021,$0.0005,N/A,$0.0005,$0.0005,$0.0005
09/29/2021,$0.0005,21810300,$0.0002,$0.0007,$0.0002
09/28/2021,$0.0001,28677790,$0.0008,$0.0008,$0
09/27/2021,$0.0008,176052800,$0.0006,$0.001,$0.0005
09/24/2021,$0.0009,32354530,$0.0009,$0.0009,$0.0007
09/23/2021,$0.0008,154821700,$0.0004,$0.001,$0.0004
09/22/2021,$0.0004,6892889,$0.0004,$0.0004,$0.0004
09/21/2021,$0.0004,11497590,$0.0004,$0.0004,$0.0004
09/20/2021,$0.0004,20281060,$0.0004,$0.0004,$0.0004
09/17/2021,$0.0004,16854050,$0.0004,$0.0004,$0.0004
09/16/2021,$0.0004,7086849,$0.0004,$0.0004,$0.0004
09/15/2021,$0.0004,20538670,$0.0003,$0.0004,$0.0003
09/14/2021,$0.0003,2264766,$0.0003,$0.0004,$0.0003
09/13/2021,$0.0003,3180000,$0.0004,$0.0004,$0.0003
09/10/2021,$0.0003,28313400,$0.0002,$0.0004,$0.0002
09/09/2021,$0.0002,58203630,$0.0004,$0.0004,$0.0002
