Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,12.01,N/A,12.01,12.01,12.01,12.01
11/30/2021,12.01,N/A,12.01,12.01,12.01,12.01
11/29/2021,11.99,N/A,11.99,11.99,11.99,11.99
11/26/2021,12,N/A,12,12,12,12
11/24/2021,11.95,N/A,11.95,11.95,11.95,11.95
11/23/2021,11.94,N/A,11.94,11.94,11.94,11.94
11/22/2021,11.97,N/A,11.97,11.97,11.97,11.97
11/19/2021,12,N/A,12,12,12,12
11/18/2021,11.98,N/A,11.98,11.98,11.98,11.98
11/17/2021,11.97,N/A,11.97,11.97,11.97,11.97
11/16/2021,11.96,N/A,11.96,11.96,11.96,11.96
11/15/2021,11.97,N/A,11.97,11.97,11.97,11.97
11/12/2021,11.99,N/A,11.99,11.99,11.99,11.99
11/11/2021,12,N/A,12,12,12,12
11/10/2021,12.01,N/A,12.01,12.01,12.01,12.01
11/09/2021,12.08,N/A,12.08,12.08,12.08,12.08
11/08/2021,12.04,N/A,12.04,12.04,12.04,12.04
11/05/2021,12.05,N/A,12.05,12.05,12.05,12.05
11/04/2021,12.02,N/A,12.02,12.02,12.02,12.02
11/03/2021,11.99,N/A,11.99,11.99,11.99,11.99
11/02/2021,12.01,N/A,12.01,12.01,12.01,12.01
11/01/2021,11.99,N/A,11.99,11.99,11.99,11.99
10/29/2021,12,N/A,12,12,12,12
10/28/2021,12,N/A,12,12,12,12
10/27/2021,12.03,N/A,12.03,12.03,12.03,12.03
10/26/2021,11.98,N/A,11.98,11.98,11.98,11.98
10/25/2021,11.96,N/A,11.96,11.96,11.96,11.96
10/22/2021,11.95,N/A,11.95,11.95,11.95,11.95
10/21/2021,11.95,N/A,11.95,11.95,11.95,11.95
10/20/2021,11.97,N/A,11.97,11.97,11.97,11.97
10/19/2021,11.97,N/A,11.97,11.97,11.97,11.97
10/18/2021,11.99,N/A,11.99,11.99,11.99,11.99
10/15/2021,11.99,N/A,11.99,11.99,11.99,11.99
10/14/2021,12,N/A,12,12,12,12
10/13/2021,11.99,N/A,11.99,11.99,11.99,11.99
10/12/2021,11.97,N/A,11.97,11.97,11.97,11.97
10/11/2021,11.96,N/A,11.96,11.96,11.96,11.96
10/08/2021,11.97,N/A,11.97,11.97,11.97,11.97
10/07/2021,11.98,N/A,11.98,11.98,11.98,11.98
10/06/2021,12,N/A,12,12,12,12
10/05/2021,11.99,N/A,11.99,11.99,11.99,11.99
10/04/2021,12.02,N/A,12.02,12.02,12.02,12.02
10/01/2021,12.03,N/A,12.03,12.03,12.03,12.03
09/30/2021,11.99,N/A,11.99,11.99,11.99,11.99
09/29/2021,11.99,N/A,11.99,11.99,11.99,11.99
09/28/2021,11.99,N/A,11.99,11.99,11.99,11.99
09/27/2021,12.02,N/A,12.02,12.02,12.02,12.02
09/24/2021,12.02,N/A,12.02,12.02,12.02,12.02
09/23/2021,12.05,N/A,12.05,12.05,12.05,12.05
09/22/2021,12.07,N/A,12.07,12.07,12.07,12.07
09/21/2021,12.08,N/A,12.08,12.08,12.08,12.08
09/20/2021,12.09,N/A,12.09,12.09,12.09,12.09
09/17/2021,12.07,N/A,12.07,12.07,12.07,12.07
09/16/2021,12.08,N/A,12.08,12.08,12.08,12.08
09/15/2021,12.09,N/A,12.09,12.09,12.09,12.09
09/14/2021,12.1,N/A,12.1,12.1,12.1,12.1
09/13/2021,12.07,N/A,12.07,12.07,12.07,12.07
09/10/2021,12.07,N/A,12.07,12.07,12.07,12.07
09/09/2021,12.08,N/A,12.08,12.08,12.08,12.08
09/08/2021,12.06,N/A,12.06,12.06,12.06,12.06
09/07/2021,12.05,N/A,12.05,12.05,12.05,12.05
09/03/2021,12.05,N/A,12.05,12.05,12.05,12.05
09/02/2021,12.06,N/A,12.06,12.06,12.06,12.06
09/01/2021,12.06,N/A,12.06,12.06,12.06,12.06
08/31/2021,12.05,N/A,12.05,12.05,12.05,12.05
08/30/2021,12.06,N/A,12.06,12.06,12.06,12.06
08/27/2021,12.05,N/A,12.05,12.05,12.05,12.05
08/26/2021,12.02,N/A,12.02,12.02,12.02,12.02
08/25/2021,12.02,N/A,12.02,12.02,12.02,12.02
08/24/2021,12.05,N/A,12.05,12.05,12.05,12.05
08/23/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/20/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/19/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/18/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/17/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/16/2021,12.05,N/A,12.05,12.05,12.05,12.05
08/13/2021,12.04,N/A,12.04,12.04,12.04,12.04
08/12/2021,12.01,N/A,12.01,12.01,12.01,12.01
08/11/2021,12.01,N/A,12.01,12.01,12.01,12.01
08/10/2021,12.01,N/A,12.01,12.01,12.01,12.01
08/09/2021,12.02,N/A,12.02,12.02,12.02,12.02
08/06/2021,12.03,N/A,12.03,12.03,12.03,12.03
08/05/2021,12.08,N/A,12.08,12.08,12.08,12.08
08/04/2021,12.09,N/A,12.09,12.09,12.09,12.09
08/03/2021,12.09,N/A,12.09,12.09,12.09,12.09
08/02/2021,12.09,N/A,12.09,12.09,12.09,12.09
07/30/2021,12.06,N/A,12.06,12.06,12.06,12.06
07/29/2021,12.05,N/A,12.05,12.05,12.05,12.05
07/28/2021,12.05,N/A,12.05,12.05,12.05,12.05
07/27/2021,12.06,N/A,12.06,12.06,12.06,12.06
07/26/2021,12.05,N/A,12.05,12.05,12.05,12.05
07/23/2021,12.03,N/A,12.03,12.03,12.03,12.03
07/22/2021,12.04,N/A,12.04,12.04,12.04,12.04
07/21/2021,12.03,N/A,12.03,12.03,12.03,12.03
07/20/2021,12.05,N/A,12.05,12.05,12.05,12.05
07/19/2021,12.06,N/A,12.06,12.06,12.06,12.06
07/16/2021,12.03,N/A,12.03,12.03,12.03,12.03
07/15/2021,12.02,N/A,12.02,12.02,12.02,12.02
07/14/2021,12,N/A,12,12,12,12
07/13/2021,11.98,N/A,11.98,11.98,11.98,11.98
07/12/2021,12,N/A,12,12,12,12
07/09/2021,12,N/A,12,12,12,12
07/08/2021,12.02,N/A,12.02,12.02,12.02,12.02
07/07/2021,12.02,N/A,12.02,12.02,12.02,12.02
07/06/2021,11.99,N/A,11.99,11.99,11.99,11.99
07/02/2021,11.97,N/A,11.97,11.97,11.97,11.97
07/01/2021,11.94,N/A,11.94,11.94,11.94,11.94
06/30/2021,11.95,N/A,11.95,11.95,11.95,11.95
06/29/2021,11.94,N/A,11.94,11.94,11.94,11.94
06/28/2021,11.94,N/A,11.94,11.94,11.94,11.94
06/25/2021,11.9,N/A,11.9,11.9,11.9,11.9
06/24/2021,11.93,N/A,11.93,11.93,11.93,11.93
06/23/2021,11.92,N/A,11.92,11.92,11.92,11.92
06/22/2021,11.92,N/A,11.92,11.92,11.92,11.92
06/21/2021,11.91,N/A,11.91,11.91,11.91,11.91
06/18/2021,11.93,N/A,11.93,11.93,11.93,11.93
06/17/2021,11.92,N/A,11.92,11.92,11.92,11.92
06/16/2021,11.88,N/A,11.88,11.88,11.88,11.88
06/15/2021,11.92,N/A,11.92,11.92,11.92,11.92
06/14/2021,11.92,N/A,11.92,11.92,11.92,11.92
06/11/2021,11.93,N/A,11.93,11.93,11.93,11.93
06/10/2021,11.93,N/A,11.93,11.93,11.93,11.93
06/09/2021,11.91,N/A,11.91,11.91,11.91,11.91
06/08/2021,11.89,N/A,11.89,11.89,11.89,11.89
06/07/2021,11.88,N/A,11.88,11.88,11.88,11.88
06/04/2021,11.87,N/A,11.87,11.87,11.87,11.87
06/03/2021,11.85,N/A,11.85,11.85,11.85,11.85
06/02/2021,11.86,N/A,11.86,11.86,11.86,11.86
06/01/2021,11.85,N/A,11.85,11.85,11.85,11.85
05/28/2021,11.86,N/A,11.86,11.86,11.86,11.86
05/27/2021,11.84,N/A,11.84,11.84,11.84,11.84
05/26/2021,11.85,N/A,11.85,11.85,11.85,11.85
05/25/2021,11.86,N/A,11.86,11.86,11.86,11.86
05/24/2021,11.84,N/A,11.84,11.84,11.84,11.84
05/21/2021,11.81,N/A,11.81,11.81,11.81,11.81
05/20/2021,11.81,N/A,11.81,11.81,11.81,11.81
05/19/2021,11.79,N/A,11.79,11.79,11.79,11.79
05/18/2021,11.81,N/A,11.81,11.81,11.81,11.81
05/17/2021,11.82,N/A,11.82,11.82,11.82,11.82
05/14/2021,11.82,N/A,11.82,11.82,11.82,11.82
05/13/2021,11.79,N/A,11.79,11.79,11.79,11.79
05/12/2021,11.78,N/A,11.78,11.78,11.78,11.78
05/11/2021,11.82,N/A,11.82,11.82,11.82,11.82
05/10/2021,11.84,N/A,11.84,11.84,11.84,11.84
05/07/2021,11.85,N/A,11.85,11.85,11.85,11.85
05/06/2021,11.85,N/A,11.85,11.85,11.85,11.85
05/05/2021,11.83,N/A,11.83,11.83,11.83,11.83
05/04/2021,11.83,N/A,11.83,11.83,11.83,11.83
