Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,177.44,N/A,177.44,177.44,177.44,177.44
11/30/2021,181.51,N/A,181.51,181.51,181.51,181.51
11/29/2021,185.39,N/A,185.39,185.39,185.39,185.39
11/26/2021,182.25,N/A,182.25,182.25,182.25,182.25
11/24/2021,185.8,N/A,185.8,185.8,185.8,185.8
11/23/2021,184.67,N/A,184.67,184.67,184.67,184.67
11/22/2021,185.77,N/A,185.77,185.77,185.77,185.77
11/19/2021,189.91,N/A,189.91,189.91,189.91,189.91
11/18/2021,189.59,N/A,189.59,189.59,189.59,189.59
11/17/2021,188.98,N/A,188.98,188.98,188.98,188.98
11/16/2021,190.82,N/A,190.82,190.82,190.82,190.82
11/15/2021,189.19,N/A,189.19,189.19,189.19,189.19
11/12/2021,188.66,N/A,188.66,188.66,188.66,188.66
11/11/2021,185.58,N/A,185.58,185.58,185.58,185.58
11/10/2021,184.71,N/A,184.71,184.71,184.71,184.71
11/09/2021,187.37,N/A,187.37,187.37,187.37,187.37
11/08/2021,188.04,N/A,188.04,188.04,188.04,188.04
11/05/2021,187.91,N/A,187.91,187.91,187.91,187.91
11/04/2021,187.44,N/A,187.44,187.44,187.44,187.44
11/03/2021,185.42,N/A,185.42,185.42,185.42,185.42
11/02/2021,183.94,N/A,183.94,183.94,183.94,183.94
11/01/2021,183.5,N/A,183.5,183.5,183.5,183.5
10/29/2021,184.29,N/A,184.29,184.29,184.29,184.29
10/28/2021,183.48,N/A,183.48,183.48,183.48,183.48
10/27/2021,181.54,N/A,181.54,181.54,181.54,181.54
10/26/2021,182,N/A,182,182,182,182
10/25/2021,182.15,N/A,182.15,182.15,182.15,182.15
10/22/2021,181.87,N/A,181.87,181.87,181.87,181.87
10/21/2021,184.95,N/A,184.95,184.95,184.95,184.95
10/20/2021,183.74,N/A,183.74,183.74,183.74,183.74
10/19/2021,184.39,N/A,184.39,184.39,184.39,184.39
10/18/2021,182.93,N/A,182.93,182.93,182.93,182.93
10/15/2021,181.13,N/A,181.13,181.13,181.13,181.13
10/14/2021,179.44,N/A,179.44,179.44,179.44,179.44
10/13/2021,176.55,N/A,176.55,176.55,176.55,176.55
10/12/2021,174.68,N/A,174.68,174.68,174.68,174.68
10/11/2021,174.7,N/A,174.7,174.7,174.7,174.7
10/08/2021,176.66,N/A,176.66,176.66,176.66,176.66
10/07/2021,177.38,N/A,177.38,177.38,177.38,177.38
10/06/2021,175.38,N/A,175.38,175.38,175.38,175.38
10/05/2021,174.03,N/A,174.03,174.03,174.03,174.03
10/04/2021,171.48,N/A,171.48,171.48,171.48,171.48
10/01/2021,176.26,N/A,176.26,176.26,176.26,176.26
09/30/2021,174.25,N/A,174.25,174.25,174.25,174.25
09/29/2021,174.87,N/A,174.87,174.87,174.87,174.87
09/28/2021,175.45,N/A,175.45,175.45,175.45,175.45
09/27/2021,181.51,N/A,181.51,181.51,181.51,181.51
09/24/2021,183.31,N/A,183.31,183.31,183.31,183.31
09/23/2021,182.96,N/A,182.96,182.96,182.96,182.96
09/22/2021,181.02,N/A,181.02,181.02,181.02,181.02
09/21/2021,179.36,N/A,179.36,179.36,179.36,179.36
09/20/2021,179.07,N/A,179.07,179.07,179.07,179.07
09/17/2021,182.74,N/A,182.74,182.74,182.74,182.74
09/16/2021,184.59,N/A,184.59,184.59,184.59,184.59
09/15/2021,184.18,N/A,184.18,184.18,184.18,184.18
09/14/2021,182.97,N/A,182.97,182.97,182.97,182.97
09/13/2021,183.04,N/A,183.04,183.04,183.04,183.04
09/10/2021,183.77,N/A,183.77,183.77,183.77,183.77
09/09/2021,184.92,N/A,184.92,184.92,184.92,184.92
09/08/2021,185.74,N/A,185.74,185.74,185.74,185.74
09/07/2021,186.61,N/A,186.61,186.61,186.61,186.61
09/03/2021,186.11,N/A,186.11,186.11,186.11,186.11
09/02/2021,184.99,N/A,184.99,184.99,184.99,184.99
09/01/2021,185.55,N/A,185.55,185.55,185.55,185.55
08/31/2021,184.91,N/A,184.91,184.91,184.91,184.91
08/30/2021,185.4,N/A,185.4,185.4,185.4,185.4
08/27/2021,183.18,N/A,183.18,183.18,183.18,183.18
08/26/2021,181.29,N/A,181.29,181.29,181.29,181.29
08/25/2021,182.43,N/A,182.43,182.43,182.43,182.43
08/24/2021,182.2,N/A,182.2,182.2,182.2,182.2
