Date,Close/Last,Volume,Open,High,Low
11/30/2021,27.7099,13282,27.93,28.21,27.5
11/29/2021,28.1323,2846,28.39,28.39,28.1
11/26/2021,27.9809,675,27.8,27.9809,27.8
11/24/2021,28.1736,9145,27.91,28.1736,27.77
11/23/2021,28.1603,2111,28.04,28.1603,27.83
11/22/2021,28.51,2274,28.88,28.94,28.458
11/19/2021,28.7169,9041,28.9899,28.9899,28.6801
11/18/2021,29.0891,3708,29.0899,29.0899,28.8201
11/17/2021,28.7986,2552,28.93,28.97,28.7986
11/16/2021,29.1562,16840,29,29.1899,29
11/15/2021,28.9,7559,28.82,28.9,28.77
11/12/2021,28.9675,6188,28.99,29.02,28.9675
11/11/2021,28.8122,3761,28.91,28.91,28.7901
11/10/2021,28.5477,8181,28.79,28.79,28.5301
11/09/2021,28.9918,6178,28.85,28.9918,28.81
11/08/2021,28.8283,581,28.8599,28.86,28.8283
11/05/2021,28.6878,14814,28.76,28.76,28.67
11/04/2021,28.4875,889,28.4631,28.52,28.4631
11/03/2021,28.204,4869,28.03,28.31,28.03
11/02/2021,27.728,1194,27.71,27.728,27.71
11/01/2021,27.7399,922,27.76,27.76,27.54
10/29/2021,27.2747,1045,27.22,27.2747,27.19
10/28/2021,27.129,6929,27.03,27.2,26.98
10/27/2021,26.79,5445,26.81,26.81,26.78
10/26/2021,27.0486,20532,27.36,27.43,27.04
10/25/2021,27.3894,3245,27.49,27.5,27.3894
10/22/2021,27.2158,2068,27.22,27.2488,27.15
10/21/2021,27.3821,8607,27.29,27.3821,27.25
10/20/2021,27.0252,5637,27.1499,27.1499,27.0252
10/19/2021,27.0795,8329,27.23,27.23,27.0795
10/18/2021,27.1364,4243,26.7,27.1364,26.7
10/15/2021,26.8388,334,26.93,26.93,26.8388
10/14/2021,26.8624,4080,26.7,26.91,26.7
10/13/2021,26.4765,6110,26.32,26.48,26.32
10/12/2021,26.2747,6067,26.2714,26.4199,26.27
10/11/2021,26.2488,353,26.47,26.47,26.2488
10/08/2021,26.4754,1811,26.5799,26.5799,26.4754
10/07/2021,26.7753,4543,26.84,26.98,26.7753
10/06/2021,26.4488,3558,26.3701,26.57,26.34
10/05/2021,26.5061,19969,26.65,26.77,26.5061
10/04/2021,26.4786,1425,26.5,26.53,26.4786
10/01/2021,26.9653,5910,26.83,27.03,26.75
09/30/2021,26.7613,34492,27,27.03,26.76
09/29/2021,26.9708,4812,27.38,27.38,26.97
09/28/2021,27.2688,11287,27.57,27.57,27.2688
09/27/2021,27.8743,4885,27.88,27.88,27.8743
09/24/2021,27.9806,7963,27.89,28.03,27.89
09/23/2021,28.0275,16453,28.07,28.13,28.0275
09/22/2021,27.6898,5479,27.74,27.74,27.58
09/21/2021,27.3588,5088,27.45,27.49,27.3588
09/20/2021,27.263,10806,27.18,27.263,26.97
09/17/2021,27.5987,4012,27.63,27.66,27.47
09/16/2021,27.7948,3213,27.58,27.87,27.58
09/15/2021,27.5808,6408,27.34,27.5808,27.34
09/14/2021,27.4365,11463,27.425,27.58,27.38
09/13/2021,27.4744,392,27.45,27.4744,27.45
09/10/2021,27.46,4455,27.83,27.83,27.46
09/09/2021,27.5933,1161,27.62,27.66,27.5933
09/08/2021,27.4171,4466,27.36,27.435,27.3
09/07/2021,27.7352,1697,27.7544,27.7544,27.7352
09/03/2021,27.8907,8442,28.2,28.2,27.8194
09/02/2021,27.8557,15852,28.19,28.19,27.8557
09/01/2021,27.9579,7143,27.96,28.0199,27.92
08/31/2021,27.8603,7123,27.84,27.935,27.64
08/30/2021,27.9869,6905,28.09,28.09,27.9869
08/27/2021,28.0042,4987,27.86,28.0555,27.86
08/26/2021,27.7162,2987,27.8,27.8,27.65
08/25/2021,27.8433,74871,27.83,27.91,27.83
08/24/2021,27.6499,5376,27.5499,27.6499,27.545
08/23/2021,27.2267,2046,27.49,27.49,27.08
08/20/2021,26.9437,10662,26.79,26.96,26.77
08/19/2021,26.683,13862,26.62,26.74,26.58
08/18/2021,26.8094,1768,27.003,27.003,26.8094
08/17/2021,26.7491,23891,27.0399,27.05,26.66
08/16/2021,27.3789,4688,27.16,27.38,27.16
08/13/2021,27.46,201,27.53,27.53,27.46
08/12/2021,27.6456,1492,27.65,27.65,27.6
08/11/2021,27.7026,23063,27.4832,27.71,27.4832
08/10/2021,27.5307,1160,27.6112,27.62,27.5307
08/09/2021,27.5273,17,27.5273,27.5273,27.5273
08/06/2021,27.6073,12406,27.55,27.66,27.55
08/05/2021,27.6156,15202,27.5099,27.66,27.4845
08/04/2021,27.4121,6728,27.45,27.45,27.4121
08/03/2021,27.5115,3771,27.34,27.5115,27.2
08/02/2021,27.2926,252,27.5,27.5,27.2926
07/30/2021,27.2267,69214,27.42,27.49,27.2267
07/29/2021,27.3298,15547,27.3599,27.46,27.328
07/28/2021,27.141,2888,27.05,27.141,26.9
07/27/2021,27.0835,9925,27.52,27.52,26.82
07/26/2021,27.3761,7700,27.37,27.38,27.37
07/23/2021,27.3164,620,27.29,27.3164,27.29
07/22/2021,27.0661,1427,26.96,27.0661,26.94
07/21/2021,27.1478,5394,26.92,27.1478,26.92
07/20/2021,26.8109,3397,26.34,26.8109,26.34
07/19/2021,26.2388,16712,26.02,26.295,26.02
07/16/2021,26.3519,339,26.7,26.7,26.3519
07/15/2021,26.6748,677,27,27,26.6748
07/14/2021,27.0964,459,27.1313,27.1313,27.0964
07/13/2021,27.3014,4426,27.4,27.4,27.2901
07/12/2021,27.541,38809,27.47,27.5795,27.4476
07/09/2021,27.4809,3104,27.32,27.4809,27.3
07/08/2021,26.9992,4972,27.12,27.12,26.9992
07/07/2021,27.293,34218,27.62,27.62,27.13
07/06/2021,27.4505,20126,27.31,27.4505,27.23
07/02/2021,27.3866,5616,27.45,27.53,27.3866
07/01/2021,27.5337,5567,27.5585,27.58,27.5201
06/30/2021,27.5916,64596,27.5,27.5916,27.5
06/29/2021,27.5863,2528,27.61,27.61,27.54
06/28/2021,27.502,9342,27.35,27.502,27.35
06/25/2021,27.4231,1770,27.5,27.5105,27.42
06/24/2021,27.3917,4733,27.37,27.3917,27.36
06/23/2021,27.102,1847,27.04,27.1493,27.04
06/22/2021,26.9867,847,26.64,26.9867,26.64
06/21/2021,26.7189,4108,26.59,26.7304,26.55
06/18/2021,26.4102,1483,26.46,26.46,26.4102
06/17/2021,26.6562,1500,26.37,26.6562,26.37
06/16/2021,26.6979,941,26.692,26.6979,26.692
06/15/2021,26.7467,7763,26.81,26.81,26.74
06/14/2021,26.9556,287,27.005,27.005,26.9556
06/11/2021,26.9299,3194,26.92,26.9299,26.82
06/10/2021,26.7246,2142,26.7,26.79,26.7
06/09/2021,26.7711,6001,26.8784,26.9412,26.7711
06/08/2021,26.979,5639,26.78,26.979,26.78
06/07/2021,26.8013,3508,26.83,26.83,26.7595
06/04/2021,26.7226,8308,26.53,26.7226,26.53
06/03/2021,26.4366,4911,26.34,26.58,26.34
06/02/2021,26.7583,3616,26.77,26.8085,26.71
06/01/2021,26.9079,2495,26.94,26.94,26.9079
