Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,9.63,N/A,9.63,9.63,9.63,9.63
11/30/2021,9.63,N/A,9.63,9.63,9.63,9.63
11/29/2021,9.6,N/A,9.6,9.6,9.6,9.6
11/26/2021,9.96,N/A,9.96,9.96,9.96,9.6171
11/24/2021,9.91,N/A,9.91,9.91,9.91,9.5688
11/23/2021,9.91,N/A,9.91,9.91,9.91,9.5688
11/22/2021,9.93,N/A,9.93,9.93,9.93,9.5881
11/19/2021,9.97,N/A,9.97,9.97,9.97,9.6267
11/18/2021,9.95,N/A,9.95,9.95,9.95,9.6074
11/17/2021,9.94,N/A,9.94,9.94,9.94,9.5978
11/16/2021,9.93,N/A,9.93,9.93,9.93,9.5881
11/15/2021,9.94,N/A,9.94,9.94,9.94,9.5978
11/12/2021,9.96,N/A,9.96,9.96,9.96,9.6171
11/11/2021,9.98,N/A,9.98,9.98,9.98,9.6364
11/10/2021,9.99,N/A,9.99,9.99,9.99,9.6461
11/09/2021,10.04,N/A,10.04,10.04,10.04,9.6943
11/08/2021,10.01,N/A,10.01,10.01,10.01,9.6654
11/05/2021,10.02,N/A,10.02,10.02,10.02,9.675
11/04/2021,9.99,N/A,9.99,9.99,9.99,9.6461
11/03/2021,9.97,N/A,9.97,9.97,9.97,9.6267
11/02/2021,9.98,N/A,9.98,9.98,9.98,9.6364
11/01/2021,9.98,N/A,9.98,9.98,9.98,9.6364
10/29/2021,9.99,N/A,9.99,9.99,9.99,9.6461
10/28/2021,9.99,N/A,9.99,9.99,9.99,9.6359
10/27/2021,10,N/A,10,10,10,9.6456
10/26/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/25/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/22/2021,9.95,N/A,9.95,9.95,9.95,9.5973
10/21/2021,9.94,N/A,9.94,9.94,9.94,9.5877
10/20/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/19/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/18/2021,9.98,N/A,9.98,9.98,9.98,9.6263
10/15/2021,9.98,N/A,9.98,9.98,9.98,9.6263
10/14/2021,10,N/A,10,10,10,9.6456
10/13/2021,9.98,N/A,9.98,9.98,9.98,9.6263
10/12/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/11/2021,9.95,N/A,9.95,9.95,9.95,9.5973
10/08/2021,9.96,N/A,9.96,9.96,9.96,9.607
10/07/2021,9.97,N/A,9.97,9.97,9.97,9.6166
10/06/2021,9.99,N/A,9.99,9.99,9.99,9.6359
10/05/2021,9.99,N/A,9.99,9.99,9.99,9.6359
10/04/2021,10.01,N/A,10.01,10.01,10.01,9.6552
10/01/2021,10.02,N/A,10.02,10.02,10.02,9.6649
09/30/2021,9.99,N/A,9.99,9.99,9.99,9.6359
09/29/2021,9.99,N/A,9.99,9.99,9.99,9.6247
09/28/2021,9.99,N/A,9.99,9.99,9.99,9.6247
09/27/2021,10.02,N/A,10.02,10.02,10.02,9.6536
09/24/2021,10.02,N/A,10.02,10.02,10.02,9.6536
09/23/2021,10.04,N/A,10.04,10.04,10.04,9.6729
09/22/2021,10.07,N/A,10.07,10.07,10.07,9.7018
09/21/2021,10.07,N/A,10.07,10.07,10.07,9.7018
09/20/2021,10.08,N/A,10.08,10.08,10.08,9.7114
09/17/2021,10.06,N/A,10.06,10.06,10.06,9.6922
09/16/2021,10.07,N/A,10.07,10.07,10.07,9.7018
09/15/2021,10.08,N/A,10.08,10.08,10.08,9.7114
09/14/2021,10.09,N/A,10.09,10.09,10.09,9.7211
09/13/2021,10.08,N/A,10.08,10.08,10.08,9.7114
09/10/2021,10.07,N/A,10.07,10.07,10.07,9.7018
09/09/2021,10.08,N/A,10.08,10.08,10.08,9.7114
09/08/2021,10.06,N/A,10.06,10.06,10.06,9.6922
09/07/2021,10.05,N/A,10.05,10.05,10.05,9.6825
09/03/2021,10.06,N/A,10.06,10.06,10.06,9.6922
09/02/2021,10.07,N/A,10.07,10.07,10.07,9.7018
09/01/2021,10.07,N/A,10.07,10.07,10.07,9.7018
08/31/2021,10.07,N/A,10.07,10.07,10.07,9.7018
08/30/2021,10.08,N/A,10.08,10.08,10.08,9.7003
08/27/2021,10.07,N/A,10.07,10.07,10.07,9.6906
08/26/2021,10.05,N/A,10.05,10.05,10.05,9.6714
08/25/2021,10.04,N/A,10.04,10.04,10.04,9.6618
08/24/2021,10.06,N/A,10.06,10.06,10.06,9.681
08/23/2021,10.06,N/A,10.06,10.06,10.06,9.681
08/20/2021,10.06,N/A,10.06,10.06,10.06,9.681
08/19/2021,10.07,N/A,10.07,10.07,10.07,9.6906
08/18/2021,10.06,N/A,10.06,10.06,10.06,9.681
08/17/2021,10.07,N/A,10.07,10.07,10.07,9.6906
08/16/2021,10.07,N/A,10.07,10.07,10.07,9.6906
08/13/2021,10.06,N/A,10.06,10.06,10.06,9.681
08/12/2021,10.04,N/A,10.04,10.04,10.04,9.6618
08/11/2021,10.04,N/A,10.04,10.04,10.04,9.6618
08/10/2021,10.04,N/A,10.04,10.04,10.04,9.6618
08/09/2021,10.05,N/A,10.05,10.05,10.05,9.6714
08/06/2021,10.07,N/A,10.07,10.07,10.07,9.6906
08/05/2021,10.1,N/A,10.1,10.1,10.1,9.7195
08/04/2021,10.11,N/A,10.11,10.11,10.11,9.7291
08/03/2021,10.12,N/A,10.12,10.12,10.12,9.7388
08/02/2021,10.12,N/A,10.12,10.12,10.12,9.7388
07/30/2021,10.1,N/A,10.1,10.1,10.1,9.7195
07/29/2021,10.09,N/A,10.09,10.09,10.09,9.6978
07/28/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/27/2021,10.09,N/A,10.09,10.09,10.09,9.6978
07/26/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/23/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/22/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/21/2021,10.07,N/A,10.07,10.07,10.07,9.6785
07/20/2021,10.09,N/A,10.09,10.09,10.09,9.6978
07/19/2021,10.1,N/A,10.1,10.1,10.1,9.7074
07/16/2021,10.07,N/A,10.07,10.07,10.07,9.6785
07/15/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/14/2021,10.06,N/A,10.06,10.06,10.06,9.6689
07/13/2021,10.03,N/A,10.03,10.03,10.03,9.6401
07/12/2021,10.05,N/A,10.05,10.05,10.05,9.6593
07/09/2021,10.05,N/A,10.05,10.05,10.05,9.6593
07/08/2021,10.08,N/A,10.08,10.08,10.08,9.6881
07/07/2021,10.07,N/A,10.07,10.07,10.07,9.6785
07/06/2021,10.06,N/A,10.06,10.06,10.06,9.6689
07/02/2021,10.03,N/A,10.03,10.03,10.03,9.6401
07/01/2021,10.02,N/A,10.02,10.02,10.02,9.6305
06/30/2021,10.03,N/A,10.03,10.03,10.03,9.6401
06/29/2021,10.01,N/A,10.01,10.01,10.01,9.6089
06/28/2021,10.01,N/A,10.01,10.01,10.01,9.6089
06/25/2021,9.99,N/A,9.99,9.99,9.99,9.5897
06/24/2021,10,N/A,10,10,10,9.5993
06/23/2021,10,N/A,10,10,10,9.5993
06/22/2021,10,N/A,10,10,10,9.5993
06/21/2021,9.99,N/A,9.99,9.99,9.99,9.5897
06/18/2021,10.01,N/A,10.01,10.01,10.01,9.6089
06/17/2021,10,N/A,10,10,10,9.5993
06/16/2021,9.98,N/A,9.98,9.98,9.98,9.5801
06/15/2021,10,N/A,10,10,10,9.5993
06/14/2021,10,N/A,10,10,10,9.5993
06/11/2021,10.01,N/A,10.01,10.01,10.01,9.6089
06/10/2021,10.01,N/A,10.01,10.01,10.01,9.6089
06/09/2021,10,N/A,10,10,10,9.5993
06/08/2021,9.99,N/A,9.99,9.99,9.99,9.5897
06/07/2021,9.97,N/A,9.97,9.97,9.97,9.5705
06/04/2021,9.98,N/A,9.98,9.98,9.98,9.5801
06/03/2021,9.95,N/A,9.95,9.95,9.95,9.5513
06/02/2021,9.97,N/A,9.97,9.97,9.97,9.5705
06/01/2021,9.96,N/A,9.96,9.96,9.96,9.5609
05/28/2021,9.96,N/A,9.96,9.96,9.96,9.5609
05/27/2021,9.96,N/A,9.96,9.96,9.96,9.548
05/26/2021,9.97,N/A,9.97,9.97,9.97,9.5576
05/25/2021,9.97,N/A,9.97,9.97,9.97,9.5576
05/24/2021,9.95,N/A,9.95,9.95,9.95,9.5384
05/21/2021,9.94,N/A,9.94,9.94,9.94,9.5288
05/20/2021,9.93,N/A,9.93,9.93,9.93,9.5192
05/19/2021,9.92,N/A,9.92,9.92,9.92,9.5097
05/18/2021,9.94,N/A,9.94,9.94,9.94,9.5288
05/17/2021,9.94,N/A,9.94,9.94,9.94,9.5288
05/14/2021,9.94,N/A,9.94,9.94,9.94,9.5288
05/13/2021,9.93,N/A,9.93,9.93,9.93,9.5192
05/12/2021,9.91,N/A,9.91,9.91,9.91,9.5001
05/11/2021,9.94,N/A,9.94,9.94,9.94,9.5288
05/10/2021,9.96,N/A,9.96,9.96,9.96,9.548
05/07/2021,9.97,N/A,9.97,9.97,9.97,9.5576
05/06/2021,9.97,N/A,9.97,9.97,9.97,9.5576
05/05/2021,9.97,N/A,9.97,9.97,9.97,9.5576
05/04/2021,9.96,N/A,9.96,9.96,9.96,9.548
05/03/2021,9.95,N/A,9.95,9.95,9.95,9.5384
04/30/2021,9.94,N/A,9.94,9.94,9.94,9.5288
04/29/2021,9.93,N/A,9.93,9.93,9.93,9.5063
04/28/2021,9.94,N/A,9.94,9.94,9.94,9.5159
04/27/2021,9.94,N/A,9.94,9.94,9.94,9.5159
04/26/2021,9.95,N/A,9.95,9.95,9.95,9.5254
04/23/2021,9.95,N/A,9.95,9.95,9.95,9.5254
04/22/2021,9.95,N/A,9.95,9.95,9.95,9.5254
04/21/2021,9.94,N/A,9.94,9.94,9.94,9.5159
04/20/2021,9.94,N/A,9.94,9.94,9.94,9.5159
04/19/2021,9.93,N/A,9.93,9.93,9.93,9.5063
04/16/2021,9.95,N/A,9.95,9.95,9.95,9.5254
04/15/2021,9.96,N/A,9.96,9.96,9.96,9.535
04/14/2021,9.92,N/A,9.92,9.92,9.92,9.4967
04/13/2021,9.92,N/A,9.92,9.92,9.92,9.4967
04/12/2021,9.9,N/A,9.9,9.9,9.9,9.4776
04/09/2021,9.9,N/A,9.9,9.9,9.9,9.4776
04/08/2021,9.91,N/A,9.91,9.91,9.91,9.4871
04/07/2021,9.9,N/A,9.9,9.9,9.9,9.4776
04/06/2021,9.9,N/A,9.9,9.9,9.9,9.4776
04/05/2021,9.88,N/A,9.88,9.88,9.88,9.4584
04/01/2021,9.88,N/A,9.88,9.88,9.88,9.4584
03/31/2021,9.85,N/A,9.85,9.85,9.85,9.4297
03/30/2021,9.85,N/A,9.85,9.85,9.85,9.4168
03/29/2021,9.85,N/A,9.85,9.85,9.85,9.4168
03/26/2021,9.87,N/A,9.87,9.87,9.87,9.4359
03/25/2021,9.88,N/A,9.88,9.88,9.88,9.4455
03/24/2021,9.89,N/A,9.89,9.89,9.89,9.455
03/23/2021,9.87,N/A,9.87,9.87,9.87,9.4359
03/22/2021,9.86,N/A,9.86,9.86,9.86,9.4263
03/19/2021,9.83,N/A,9.83,9.83,9.83,9.3977
03/18/2021,9.83,N/A,9.83,9.83,9.83,9.3977
03/17/2021,9.85,N/A,9.85,9.85,9.85,9.4168
03/16/2021,9.87,N/A,9.87,9.87,9.87,9.4359
03/15/2021,9.87,N/A,9.87,9.87,9.87,9.4359
03/12/2021,9.86,N/A,9.86,9.86,9.86,9.4263
03/11/2021,9.9,N/A,9.9,9.9,9.9,9.4646
03/10/2021,9.9,N/A,9.9,9.9,9.9,9.4646
03/09/2021,9.89,N/A,9.89,9.89,9.89,9.455
03/08/2021,9.87,N/A,9.87,9.87,9.87,9.4359
03/05/2021,9.89,N/A,9.89,9.89,9.89,9.455
03/04/2021,9.9,N/A,9.9,9.9,9.9,9.4646
03/03/2021,9.93,N/A,9.93,9.93,9.93,9.4933
03/02/2021,9.95,N/A,9.95,9.95,9.95,9.5124
03/01/2021,9.93,N/A,9.93,9.93,9.93,9.4933
02/26/2021,9.93,N/A,9.93,9.93,9.93,9.4933
02/25/2021,9.9,N/A,9.9,9.9,9.9,9.4508
02/24/2021,9.95,N/A,9.95,9.95,9.95,9.4985
02/23/2021,9.97,N/A,9.97,9.97,9.97,9.5176
02/22/2021,9.97,N/A,9.97,9.97,9.97,9.5176
02/19/2021,9.99,N/A,9.99,9.99,9.99,9.5367
02/18/2021,10.02,N/A,10.02,10.02,10.02,9.5654
02/17/2021,10.01,N/A,10.01,10.01,10.01,9.5558
02/16/2021,10.01,N/A,10.01,10.01,10.01,9.5558
02/12/2021,10.04,N/A,10.04,10.04,10.04,9.5845
02/11/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/10/2021,10.07,N/A,10.07,10.07,10.07,9.6131
02/09/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/08/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/05/2021,10.05,N/A,10.05,10.05,10.05,9.594
02/04/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/03/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/02/2021,10.06,N/A,10.06,10.06,10.06,9.6035
02/01/2021,10.07,N/A,10.07,10.07,10.07,9.6131
01/29/2021,10.06,N/A,10.06,10.06,10.06,9.6035
01/28/2021,10.07,N/A,10.07,10.07,10.07,9.5973
01/27/2021,10.08,N/A,10.08,10.08,10.08,9.6069
01/26/2021,10.08,N/A,10.08,10.08,10.08,9.6069
01/25/2021,10.08,N/A,10.08,10.08,10.08,9.6069
01/22/2021,10.07,N/A,10.07,10.07,10.07,9.5973
01/21/2021,10.07,N/A,10.07,10.07,10.07,9.5973
01/20/2021,10.07,N/A,10.07,10.07,10.07,9.5973
01/19/2021,10.07,N/A,10.07,10.07,10.07,9.5973
01/15/2021,10.06,N/A,10.06,10.06,10.06,9.5878
01/14/2021,10.05,N/A,10.05,10.05,10.05,9.5783
01/13/2021,10.05,N/A,10.05,10.05,10.05,9.5783
01/12/2021,10.03,N/A,10.03,10.03,10.03,9.5592
01/11/2021,10.03,N/A,10.03,10.03,10.03,9.5592
01/08/2021,10.04,N/A,10.04,10.04,10.04,9.5687
01/07/2021,10.05,N/A,10.05,10.05,10.05,9.5783
01/06/2021,10.05,N/A,10.05,10.05,10.05,9.5783
01/05/2021,10.09,N/A,10.09,10.09,10.09,9.6164
01/04/2021,10.12,N/A,10.12,10.12,10.12,9.645
12/31/2020,10.11,N/A,10.11,10.11,10.11,9.6355
12/30/2020,10.1,N/A,10.1,10.1,10.1,9.6103
12/29/2020,10.1,N/A,10.1,10.1,10.1,9.6103
12/28/2020,10.12,N/A,10.12,10.12,10.12,9.6293
12/24/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/23/2020,10.1,N/A,10.1,10.1,10.1,9.6103
12/22/2020,10.12,N/A,10.12,10.12,10.12,9.6293
12/21/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/18/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/17/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/16/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/15/2020,10.1,N/A,10.1,10.1,10.1,9.6103
12/14/2020,10.11,N/A,10.11,10.11,10.11,9.6198
12/11/2020,10.1,N/A,10.1,10.1,10.1,9.6103
12/10/2020,10.09,N/A,10.09,10.09,10.09,9.6008
12/09/2020,10.07,N/A,10.07,10.07,10.07,9.5817
12/08/2020,10.09,N/A,10.09,10.09,10.09,9.6008
12/07/2020,10.08,N/A,10.08,10.08,10.08,9.5913
12/04/2020,10.06,N/A,10.06,10.06,10.06,9.5722
12/03/2020,10.07,N/A,10.07,10.07,10.07,9.5817
12/02/2020,10.05,N/A,10.05,10.05,10.05,9.5627
12/01/2020,10.05,N/A,10.05,10.05,10.05,9.5627
11/30/2020,10.07,N/A,10.07,10.07,10.07,9.5817
11/27/2020,10.06,N/A,10.06,10.06,10.06,9.5566
11/25/2020,10.04,N/A,10.04,10.04,10.04,9.5376
11/24/2020,10.04,N/A,10.04,10.04,10.04,9.5376
11/23/2020,10.22,N/A,10.22,10.22,10.22,9.5358
11/20/2020,10.23,N/A,10.23,10.23,10.23,9.5451
11/19/2020,10.21,N/A,10.21,10.21,10.21,9.5265
11/18/2020,10.19,N/A,10.19,10.19,10.19,9.5078
11/17/2020,10.19,N/A,10.19,10.19,10.19,9.5078
11/16/2020,10.17,N/A,10.17,10.17,10.17,9.4891
11/13/2020,10.17,N/A,10.17,10.17,10.17,9.4891
11/12/2020,10.17,N/A,10.17,10.17,10.17,9.4891
11/11/2020,10.14,N/A,10.14,10.14,10.14,9.4611
11/10/2020,10.14,N/A,10.14,10.14,10.14,9.4611
11/09/2020,10.14,N/A,10.14,10.14,10.14,9.4611
11/06/2020,10.14,N/A,10.14,10.14,10.14,9.4611
11/05/2020,10.16,N/A,10.16,10.16,10.16,9.4798
11/04/2020,10.13,N/A,10.13,10.13,10.13,9.4518
11/03/2020,10.08,N/A,10.08,10.08,10.08,9.4052
11/02/2020,10.09,N/A,10.09,10.09,10.09,9.4145
10/30/2020,10.07,N/A,10.07,10.07,10.07,9.3958
10/29/2020,10.08,N/A,10.08,10.08,10.08,9.3899
10/28/2020,10.1,N/A,10.1,10.1,10.1,9.4085
10/27/2020,10.12,N/A,10.12,10.12,10.12,9.4271
10/26/2020,10.11,N/A,10.11,10.11,10.11,9.4178
10/23/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/22/2020,10.08,N/A,10.08,10.08,10.08,9.3899
10/21/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/20/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/19/2020,10.11,N/A,10.11,10.11,10.11,9.4178
10/16/2020,10.11,N/A,10.11,10.11,10.11,9.4178
10/15/2020,10.11,N/A,10.11,10.11,10.11,9.4178
10/14/2020,10.12,N/A,10.12,10.12,10.12,9.4271
10/13/2020,10.11,N/A,10.11,10.11,10.11,9.4178
10/12/2020,10.1,N/A,10.1,10.1,10.1,9.4085
10/09/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/08/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/07/2020,10.08,N/A,10.08,10.08,10.08,9.3899
10/06/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/05/2020,10.07,N/A,10.07,10.07,10.07,9.3805
10/02/2020,10.09,N/A,10.09,10.09,10.09,9.3992
10/01/2020,10.09,N/A,10.09,10.09,10.09,9.3992
09/30/2020,10.08,N/A,10.08,10.08,10.08,9.3899
09/29/2020,10.09,N/A,10.09,10.09,10.09,9.3839
09/28/2020,10.08,N/A,10.08,10.08,10.08,9.3746
09/25/2020,10.08,N/A,10.08,10.08,10.08,9.3746
09/24/2020,10.08,N/A,10.08,10.08,10.08,9.3746
09/23/2020,10.1,N/A,10.1,10.1,10.1,9.3932
09/22/2020,10.11,N/A,10.11,10.11,10.11,9.4025
09/21/2020,10.11,N/A,10.11,10.11,10.11,9.4025
09/18/2020,10.13,N/A,10.13,10.13,10.13,9.4211
09/17/2020,10.13,N/A,10.13,10.13,10.13,9.4211
09/16/2020,10.13,N/A,10.13,10.13,10.13,9.4211
09/15/2020,10.13,N/A,10.13,10.13,10.13,9.4211
09/14/2020,10.13,N/A,10.13,10.13,10.13,9.4211
09/11/2020,10.12,N/A,10.12,10.12,10.12,9.4118
09/10/2020,10.12,N/A,10.12,10.12,10.12,9.4118
09/09/2020,10.1,N/A,10.1,10.1,10.1,9.3932
09/08/2020,10.11,N/A,10.11,10.11,10.11,9.4025
09/04/2020,10.11,N/A,10.11,10.11,10.11,9.4025
09/03/2020,10.16,N/A,10.16,10.16,10.16,9.449
09/02/2020,10.15,N/A,10.15,10.15,10.15,9.4397
09/01/2020,10.13,N/A,10.13,10.13,10.13,9.4211
08/31/2020,10.11,N/A,10.11,10.11,10.11,9.4025
08/28/2020,10.08,N/A,10.08,10.08,10.08,9.3601
08/27/2020,10.07,N/A,10.07,10.07,10.07,9.3508
08/26/2020,10.1,N/A,10.1,10.1,10.1,9.3787
08/25/2020,10.1,N/A,10.1,10.1,10.1,9.3787
08/24/2020,10.11,N/A,10.11,10.11,10.11,9.3879
08/21/2020,10.1,N/A,10.1,10.1,10.1,9.3787
08/20/2020,10.09,N/A,10.09,10.09,10.09,9.3694
08/19/2020,10.08,N/A,10.08,10.08,10.08,9.3601
08/18/2020,10.09,N/A,10.09,10.09,10.09,9.3694
08/17/2020,10.08,N/A,10.08,10.08,10.08,9.3601
08/14/2020,10.07,N/A,10.07,10.07,10.07,9.3508
08/13/2020,10.08,N/A,10.08,10.08,10.08,9.3601
08/12/2020,10.1,N/A,10.1,10.1,10.1,9.3787
08/11/2020,10.1,N/A,10.1,10.1,10.1,9.3787
08/10/2020,10.13,N/A,10.13,10.13,10.13,9.4065
08/07/2020,10.13,N/A,10.13,10.13,10.13,9.4065
08/06/2020,10.14,N/A,10.14,10.14,10.14,9.4158
08/05/2020,10.13,N/A,10.13,10.13,10.13,9.4065
08/04/2020,10.13,N/A,10.13,10.13,10.13,9.4065
08/03/2020,10.11,N/A,10.11,10.11,10.11,9.3879
07/31/2020,10.1,N/A,10.1,10.1,10.1,9.3787
07/30/2020,10.1,N/A,10.1,10.1,10.1,9.3651
07/29/2020,10.08,N/A,10.08,10.08,10.08,9.3466
07/28/2020,10.08,N/A,10.08,10.08,10.08,9.3466
07/27/2020,10.07,N/A,10.07,10.07,10.07,9.3373
07/24/2020,10.07,N/A,10.07,10.07,10.07,9.3373
07/23/2020,10.08,N/A,10.08,10.08,10.08,9.3466
07/22/2020,10.06,N/A,10.06,10.06,10.06,9.328
07/21/2020,10.03,N/A,10.03,10.03,10.03,9.3002
07/20/2020,10.01,N/A,10.01,10.01,10.01,9.2817
07/17/2020,9.99,N/A,9.99,9.99,9.99,9.2631
07/16/2020,9.99,N/A,9.99,9.99,9.99,9.2631
07/15/2020,9.97,N/A,9.97,9.97,9.97,9.2446
07/14/2020,9.96,N/A,9.96,9.96,9.96,9.2353
07/13/2020,9.95,N/A,9.95,9.95,9.95,9.226
07/10/2020,9.94,N/A,9.94,9.94,9.94,9.2167
07/09/2020,9.95,N/A,9.95,9.95,9.95,9.226
07/08/2020,9.93,N/A,9.93,9.93,9.93,9.2075
07/07/2020,9.94,N/A,9.94,9.94,9.94,9.2167
07/06/2020,9.93,N/A,9.93,9.93,9.93,9.2075
07/02/2020,9.91,N/A,9.91,9.91,9.91,9.1889
07/01/2020,9.89,N/A,9.89,9.89,9.89,9.1704
06/30/2020,9.87,N/A,9.87,9.87,9.87,9.1518
06/29/2020,9.87,N/A,9.87,9.87,9.87,9.1363
06/26/2020,9.88,N/A,9.88,9.88,9.88,9.1455
06/25/2020,9.88,N/A,9.88,9.88,9.88,9.1455
06/24/2020,9.88,N/A,9.88,9.88,9.88,9.1455
06/23/2020,9.89,N/A,9.89,9.89,9.89,9.1548
