Date,Close/Last,Volume,Open,High,Low
11/30/2021,$4.74,6176,$4.74,$4.74,$4.74
11/29/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/26/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/24/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/23/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/22/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/19/2021,$5.2095,N/A,$5.2095,$5.2095,$5.2095
11/18/2021,$5.2095,2700,$5.2095,$5.2095,$5.2095
11/17/2021,$5.2202,19100,$5.2256,$5.2256,$5.2202
11/16/2021,$5.249,2500,$5.249,$5.249,$5.249
11/15/2021,$5.2624,15200,$5.2599,$5.2624,$5.2599
11/12/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/11/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/10/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/09/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/08/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/05/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/04/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/03/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/02/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
11/01/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
10/29/2021,$5.0882,N/A,$5.0882,$5.0882,$5.0882
10/28/2021,$5.0882,1000,$5.0882,$5.0882,$5.0882
10/27/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/26/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/25/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/22/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/21/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/20/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/19/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/18/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/15/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/14/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/13/2021,$4.85,N/A,$4.85,$4.85,$4.85
10/12/2021,$4.85,16419,$4.9601,$4.9601,$4.85
10/11/2021,$4.77,N/A,$4.77,$4.77,$4.77
10/08/2021,$4.77,N/A,$4.77,$4.77,$4.77
10/07/2021,$4.77,N/A,$4.77,$4.77,$4.77
10/06/2021,$4.77,N/A,$4.77,$4.77,$4.77
10/05/2021,$4.77,10416,$4.8501,$4.8501,$4.77
10/04/2021,$5.0077,N/A,$5.0077,$5.0077,$5.0077
10/01/2021,$5.0077,N/A,$5.0077,$5.0077,$5.0077
09/30/2021,$5.0077,N/A,$5.0077,$5.0077,$5.0077
09/29/2021,$5.0077,N/A,$5.0077,$5.0077,$5.0077
09/28/2021,$5.0077,200,$5.0077,$5.0077,$5.0077
09/27/2021,$5.21,450,$5.21,$5.21,$5.21
09/24/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/23/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/22/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/21/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/20/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/17/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/16/2021,$5.05,N/A,$5.05,$5.05,$5.05
09/15/2021,$5.05,N/A,$5.05,$5.05,$5.05
