Genre,Artist,Song,Detected Tonic,Detected Mode,Errors,% Confidence,Detected Tonic by Endings,Detected Mode by Endings,% Confidence
Country,Garth Brooks,23224_Friends-in-Low-Places,A,major,71,98.56854838709678%,B,dorian,0.23728813559322035
Country,Garth Brooks,26553_To-Make-You-Feel-My-Love,D,major,111,94.31352459016394%,D,major,0.42857142857142855
Country,John Anderson,2601_I-Wish-I-Could-Have-Been-There (1),C,major,9,99.66923925027564%,G,mixolydian,0.26666666666666666
Country,John Anderson,2601_I-Wish-I-Could-Have-Been-There,C,major,9,99.66923925027564%,G,mixolydian,0.26666666666666666
Country,John Anderson,2603_Seminole-Wind,D,major,16,99.65315412963365%,E,dorian,0.391304347826087
Country,Tim McGraw,1576_Dont-Take-the-Girl,G,major,0,100.0%,G,major,0.75
Country,Tim McGraw,1577_I-Like-It-I-Love-It,F,major,466,92.6579486371514%,C,mixolydian,0.2839506172839506
Country,Tim McGraw,2610_Something-Like-That,F,major,134,95.53184394798267%,F,major,0.5238095238095238
EDM,Alan Walker,Alan Walker - Alone  (midi by Carlo Prato) (www.cprato.com),Bb,major,0,100.0%,F,mixolydian,1.0
EDM,Alan Walker,Alan Walker - Faded (Piano Cover Tutorial - Easy) (midi by Carlo Prato) (www.cprato.com),Gb,major,0,100.0%,Db,mixolydian,0.5
EDM,Alan Walker,Alan Walker - Sing Me To Sleep  (midi by Carlo Prato) (www.cprato.com),G,major,0,100.0%,D,mixolydian,0.5
EDM,Deadmau5,deadmau5 - 2448  (midi by Carlo Prato) (www.cprato.com),E,minor,14,91.66666666666666%,C,lydian,0.2857142857142857
EDM,Deadmau5,deadmau5 - Deus Ex Machina  (midi by Carlo Prato) (www.cprato.com),F,minor,0,100.0%,F,minor,0.6
EDM,Deadmau5,deadmau5 - Hyperlandia  (midi by Carlo Prato) (www.cprato.com),G,major,0,100.0%,Gb,locrian,0.5
EDM,Deadmau5,deadmau5 - No Problem  (midi by Carlo Prato) (www.cprato.com),B,minor,33,88.42105263157895%,D,major,0.5
EDM,Deadmau5,deadmau5 - So There I Was  (midi by Carlo Prato) (www.cprato.com),Gb,major,0,100.0%,Gb,lydian,0.5
EDM,Deadmau5,deadmau5 feat. Grabbitz - Let Go  (midi by Carlo Prato) (www.cprato.com),Bb,major,0,100.0%,F,mixolydian,1.0
EDM,Marshmello,Marshmello - Alone (Original Mix) (midi by Carlo Prato) (www.cprato.com),D,major,0,100.0%,D,major,0.8181818181818182
EDM,Marshmello,Marshmello - Ritual (Original Mix) (midi by Carlo Prato) (www.cprato.com),Bb,major,0,100.0%,D,minor,0.5
EDM,Marshmello,Marshmello - Summer  (midi by Carlo Prato) (www.cprato.com),Ab,minor,0,100.0%,Ab,minor,0.8
EDM,Martin Garrix,Martin Garrix & Bebe Rexha - In The Name Of Love  (midi by Carlo Prato) (www.cprato.com),G,major,0,100.0%,D,mixolydian,0.3333333333333333
EDM,Martin Garrix,Martin Garrix & Dua Lipa - Scared To Be Lonely  (midi by Carlo Prato) (www.cprato.com),E,major,0,100.0%,Db,minor,1.0
EDM,Martin Garrix,Martin Garrix ft. The Federal Empire - Hold On & Believe (Original Mix) (midi by Carlo Prato) (www.cprato.com),Ab,minor,0,100.0%,Ab,minor,1.0
Gospel,John Newton,Amazing_Grace,G,major,0,100.0%,G,major,0.5
Grunge,Nirvana,AboutAGirl,B,minor,303,92.74425287356321%,B,minor,0.5416666666666666
Grunge,Nirvana,ComeAsYouAre,F,minor,114,91.11457521434139%,C,phrygian,0.35714285714285715
Grunge,Nirvana,HeartShapedBox,Ab,minor,277,91.86490455212922%,Ab,minor,0.5428571428571428
Grunge,Nirvana,InBloom,Eb,major,488,86.56387665198237%,Eb,major,0.3157894736842105
Grunge,Nirvana,Lithium,D,minor,317,87.0928338762215%,F,major,0.52
