ages,no,astra,biontech,moderna,jj
[00;12),0,0.73,0.92,0.92,0.73
[12;18),0,0.73,0.92,0.92,0.73
[18;60),0,0.73,0.92,0.92,0.73
[60;oo),0,0.73,0.92,0.92,0.73
