ages,no,astra,biontech,moderna,jj
[00;12),0.28,0.712,0.712,0.712,0.712
[12;18),0.28,0.712,0.712,0.712,0.712
[18;60),0,0.60,0.60,0.60,0.60
[60;oo),0,0.50,0.50,0.50,0.50
