ages,no,astra,biontech,moderna,jj
[00;12),0,0.1,0.1,0.1,0.1
[12;18),0,0.1,0.1,0.1,0.1
[18;60),0,0.1,0.1,0.1,0.1
[60;oo),0,0.1,0.1,0.1,0.1
