ages,no,astra,biontech,moderna,jj
[00;12),0.63,0.63,0.63,0.63,0.63
[12;18),0.81,0.81,0.81,0.81,0.81
[18;60),1,1,1,1,1
[60;oo),1,1,1,1,1
