ages,no,astra,biontech,moderna,jj
[00;12),0,0.5,0.5,0.5,0.5
[12;18),0,0.5,0.5,0.5,0.5
[18;60),0,0.5,0.5,0.5,0.5
[60;oo),0,0.5,0.5,0.5,0.5
