ages,no,astra,biontech,moderna,jj
[00;12),1,1.5,1.5,1.5,1.5
[12;18),1,1.5,1.5,1.5,1.5
[18;60),1,1.5,1.5,1.5,1.5
[60;oo),1,1.5,1.5,1.5,1.5
